login,followers,max_stars,max_forks,account_age,agent_activity_span_days,agent_diversity,agentic_repo_breadth,collab_breadth,5yr_public_commits,5yr_private_work,5yr_reviews_given,5yr_prs_opened
Lars-Th,0.0,0.0,0.0,2.0,1,1,1,0,25,0,0,13
racket2000,0.0,0.0,0.0,7.0,2,1,1,11,63,0,1,12
Nate-L-Beckwith,2.0,0.0,0.0,5.0,41,1,1,0,185,515,0,19
w-woloszyn,7.0,0.0,0.0,10.0,18,1,1,9,64,163,67,48
cbvibe69,0.0,3.0,0.0,1.0,0,1,1,0,44,0,0,23
FinickySpider,2.0,0.0,0.0,12.0,0,1,1,3,164,0,1,12
changhyeon743,46.0,1.0,0.0,9.0,0,1,1,2,86,2422,0,3
grimaldi89,0.0,1.0,0.0,9.0,2,1,1,1,94,0,0,27
husmen-alt,0.0,0.0,0.0,2.0,1,1,1,0,0,0,0,0
dogsbody-sysadmin,0.0,0.0,0.0,1.0,1,1,1,1,6,11,0,6
nicoGarciaValde,0.0,0.0,0.0,2.0,0,1,1,5,68,0,84,63
Cloudwith-mo,0.0,0.0,0.0,2.0,22,1,1,0,142,24,2,34
PauGuirao,5.0,0.0,0.0,6.0,12,1,2,6,450,1919,0,41
its-me-anoop,3.0,0.0,0.0,13.0,2,1,2,0,516,327,0,55
claudio-felipe-goelzer,0.0,0.0,0.0,4.0,0,1,1,1,0,0,0,0
panderso187,0.0,0.0,0.0,3.0,10,1,1,0,5,0,0,7
omergoldstein1,0.0,0.0,0.0,2.0,14,1,1,0,0,0,0,2
LeoVeig4,26.0,1.0,1.0,5.0,1,1,1,0,146,2980,0,5
arutkowski00,11.0,0.0,0.0,12.0,29,1,1,5,249,2691,21,38
polysign,12.0,0.0,0.0,17.0,27,1,2,4,103,0,0,36
BITRY,5.0,1.0,3.0,9.0,0,1,1,0,70,60,2,17
Staveeland,0.0,0.0,0.0,11.0,26,1,2,0,149,0,0,20
mxbraun4,0.0,0.0,0.0,2.0,4,1,3,1,96,192,0,12
rbonestell,29.0,0.0,0.0,13.0,16,1,1,31,654,1400,7,81
natnael340,1.0,2.0,1.0,8.0,25,1,1,0,396,4096,1,30
glkurkin,0.0,0.0,0.0,2.0,0,1,1,0,86,0,8,34
avdlr,0.0,0.0,0.0,12.0,27,1,3,0,201,0,1,94
rgiampo,4.0,0.0,0.0,4.0,0,1,1,0,66,0,0,3
Saschy,0.0,0.0,0.0,2.0,0,1,1,0,1,0,0,3
danlenny,4.0,0.0,0.0,10.0,0,1,1,0,5,0,0,5
amineziani9,0.0,0.0,0.0,2.0,21,1,1,0,47,0,0,22
pwestrick,0.0,0.0,0.0,3.0,0,1,1,0,0,0,0,2
Abhijit85,0.0,0.0,1.0,7.0,43,1,6,5,549,128,1,70
sidjel,0.0,0.0,0.0,3.0,2,1,1,0,86,0,0,15
davszabo,0.0,0.0,0.0,2.0,0,1,1,0,18,0,0,3
jaonunesunb,9.0,0.0,0.0,5.0,0,1,1,0,172,191,0,22
zyoung1212,6.0,0.0,0.0,10.0,0,1,1,8,0,0,0,10
orphish,0.0,0.0,0.0,1.0,0,1,1,0,1,0,0,1
mpn2pwm,0.0,0.0,0.0,4.0,26,1,1,0,5,0,0,3
MihajloKorunoski,1.0,0.0,0.0,6.0,1,1,3,0,170,0,0,21
Lev0n82,0.0,0.0,0.0,4.0,46,1,3,4,24,0,5,94
stasHrytsko,0.0,0.0,0.0,6.0,0,1,1,0,30,0,0,1
starplayground,0.0,0.0,0.0,1.0,1,1,1,0,13,0,0,5
masa-massara,13.0,0.0,0.0,3.0,0,1,1,3,832,1062,19,151
ErnestoCobos,17.0,0.0,0.0,12.0,1,1,1,3,354,4133,1,22
dudsv,0.0,0.0,0.0,5.0,5,1,2,0,152,0,0,13
8abak,0.0,0.0,0.0,7.0,5,1,2,0,1186,0,0,15
jas-m-evans,0.0,0.0,0.0,11.0,0,1,1,0,38,0,0,17
olucvolkan,69.0,0.0,0.0,11.0,27,1,2,4,522,1116,0,22
ethan791,0.0,1.0,0.0,1.0,15,1,1,0,0,0,0,0
doublej,2.0,0.0,0.0,15.0,0,1,1,3,396,2529,0,1
lightningcell,11.0,1.0,0.0,4.0,5,1,1,0,178,99,0,7
IgorRicardo1,3.0,0.0,0.0,3.0,0,1,1,3,66,0,0,4
Eyonic,0.0,0.0,0.0,3.0,0,1,1,0,180,0,0,3
DaddioTime,0.0,0.0,0.0,2.0,0,1,1,3,0,0,0,1
akaiuun12,0.0,0.0,0.0,6.0,16,1,1,0,49,1294,0,1
CyganTech,0.0,0.0,0.0,3.0,0,1,1,1,14,0,0,14
sujan-026,5.0,0.0,0.0,5.0,46,1,2,0,69,260,0,9
Dopmeyer,0.0,0.0,0.0,1.0,0,1,1,0,1,0,0,1
Mfon-19,2.0,0.0,0.0,7.0,0,1,1,3,353,100,0,9
happyf-weallareeuropean,0.0,3.0,1.0,2.0,51,1,3,35,120,0,0,37
01vadim10,5.0,0.0,0.0,15.0,0,1,1,0,92,270,30,29
mxholdingscode,0.0,0.0,0.0,1.0,0,1,1,0,0,0,0,4
kirtionis,0.0,0.0,0.0,1.0,0,1,1,0,44,0,0,19
Ahmethulusi,9.0,0.0,0.0,4.0,0,1,1,0,121,442,1,11
alongol28,0.0,0.0,0.0,2.0,0,1,1,0,5,0,0,2
DAICHI-ITO-jfcc,0.0,0.0,0.0,1.0,0,1,2,0,8,0,0,5
xuyecan,95.0,38.0,11.0,13.0,0,1,1,6,634,0,2,3
ITSIMA1,0.0,0.0,0.0,3.0,0,1,1,0,1,0,0,1
Alex2262,13.0,0.0,0.0,5.0,4,1,1,3,1116,136,0,214
mlnchk,33.0,1.0,0.0,9.0,1,1,1,4,292,8900,0,22
cromosombra,0.0,0.0,0.0,7.0,1,1,1,1,38,0,0,4
brunocroft86,2.0,0.0,1.0,4.0,1,1,1,0,158,2,0,11
aviseth,11.0,1.0,0.0,10.0,0,1,1,1,142,843,0,3
XemaLed,0.0,0.0,0.0,7.0,0,1,1,0,0,0,0,3
MarcelloMorettoni,0.0,0.0,0.0,9.0,9,1,2,0,258,0,0,41
bvosk,1.0,1.0,0.0,14.0,0,1,1,1,31,2381,24,17
Kanzi-Amine,0.0,0.0,0.0,6.0,0,1,1,0,2,0,0,1
kh-1-1,0.0,0.0,0.0,2.0,0,1,1,0,91,0,0,1
sugihara123456,0.0,0.0,0.0,3.0,0,1,1,1,14,0,0,4
wannasaynone,5.0,4.0,0.0,10.0,0,1,1,0,211,0,0,2
DarshilShah062,1.0,0.0,0.0,4.0,8,1,2,0,12,0,0,8
tac0de,7.0,0.0,0.0,6.0,14,1,1,0,2,0,0,0
bang-mini,0.0,0.0,0.0,1.0,0,1,1,1,132,0,0,7
shreyasrkarthik,0.0,0.0,0.0,12.0,1,1,1,1,363,179,0,50
aleenaR26,0.0,0.0,0.0,1.0,0,1,1,0,1,0,0,1
alexbrainer73,1.0,0.0,0.0,8.0,0,1,1,0,14,0,0,8
Noelmarketing,0.0,0.0,0.0,2.0,1,1,1,0,41,0,0,7
ItaiYancovich,2.0,0.0,0.0,3.0,1,1,1,0,19,0,0,12
usmanaftab,3.0,0.0,0.0,15.0,0,1,1,0,159,0,0,2
octdubois,0.0,0.0,0.0,8.0,0,1,1,0,31,0,0,10
Yabrich,2.0,0.0,0.0,5.0,5,1,1,1,84,112,0,9
OdivalPereira,0.0,0.0,0.0,4.0,0,1,1,0,616,0,0,278
rotem-blik,0.0,0.0,0.0,8.0,0,1,1,0,9,0,0,1
at10ti0n,12.0,0.0,0.0,13.0,2,1,1,2,58,0,0,21
Westa1125,0.0,0.0,0.0,3.0,0,1,1,0,31,0,0,1
makomao0,0.0,0.0,0.0,1.0,27,1,1,0,21,0,0,4
godspeedtalent,0.0,0.0,0.0,3.0,1,1,2,0,557,0,0,297
TianjiaoShen,0.0,0.0,0.0,6.0,0,1,1,0,3,0,0,1
tishka04,1.0,0.0,0.0,6.0,0,1,1,0,127,0,0,10
Lorhlona,4.0,0.0,0.0,3.0,0,1,1,0,2,0,0,0
juanikitro,8.0,0.0,0.0,5.0,39,1,1,4,1872,48,153,213
smartbi81,0.0,0.0,0.0,2.0,0,1,1,1,5,0,0,4
tacticalops-hub,0.0,0.0,0.0,1.0,2,1,1,1,74,0,0,13
J-joon,2.0,0.0,0.0,6.0,7,1,1,1,127,0,0,13
Girish-120,0.0,0.0,0.0,4.0,12,1,1,0,19,0,0,1
neskorodko,0.0,0.0,0.0,1.0,0,1,1,0,31,0,0,1
jorgekpedroso,1.0,0.0,0.0,2.0,1,1,1,0,18,0,0,3
Csabesz1130,2.0,0.0,0.0,8.0,51,2,7,0,487,0,0,36
NikiFe,0.0,0.0,0.0,2.0,0,1,1,0,127,119,2,1
Fmanuel809,9.0,0.0,0.0,8.0,0,1,1,2,112,906,1,18
leoafarias,757.0,5105.0,262.0,16.0,1,1,1,12,3495,1547,256,613
supersteeeeeeeve,0.0,0.0,0.0,8.0,1,1,1,1,0,637,0,1
StoppingBuck,9.0,0.0,0.0,12.0,0,1,1,1,113,1420,0,7
orgordin,6.0,235.0,44.0,10.0,0,1,1,0,2,7695,0,2
robertcdawson,16.0,0.0,0.0,14.0,51,2,5,0,316,385,0,26
huibuh123123,0.0,0.0,0.0,1.0,0,1,1,0,4,0,0,0
kwgws,2.0,0.0,0.0,12.0,2,1,1,0,171,8,0,7
YourHopelessness,0.0,0.0,0.0,8.0,41,1,2,0,89,0,1,20
cet3001,0.0,0.0,0.0,1.0,22,1,1,0,0,0,0,0
ismailxebia,40.0,0.0,0.0,10.0,0,1,1,0,76,0,0,1
dinohurem,2.0,1.0,1.0,11.0,2,1,1,0,140,753,1,72
Nath1978,0.0,0.0,0.0,3.0,27,1,1,0,92,0,0,29
JoshuaJones27,14.0,0.0,0.0,4.0,0,1,1,0,407,0,0,1
AashiDutt,106.0,0.0,0.0,9.0,0,1,1,2,587,63,7,10
momomelis,0.0,0.0,0.0,9.0,20,1,1,0,0,0,0,0
Dariton4000,0.0,1.0,0.0,2.0,10,1,1,6,24,176,10,5
tgd,6.0,0.0,0.0,17.0,0,1,2,17,166,0,291,178
ace-dent,10.0,0.0,0.0,16.0,0,1,1,13,1329,0,5,143
seyed-hassani,4.0,0.0,0.0,3.0,0,1,1,0,199,0,0,1
tonigi,57.0,0.0,0.0,14.0,32,1,1,27,1176,0,3,61
GyodaiDDA,8.0,0.0,0.0,3.0,0,1,1,0,223,0,21,7
calderonf,46.0,5.0,0.0,11.0,0,1,1,0,165,0,0,9
leco-cit,0.0,0.0,0.0,2.0,1,1,2,0,0,0,0,0
thewolfparkcollective,0.0,0.0,0.0,1.0,0,1,1,0,125,0,0,3
duythinh-dev,0.0,0.0,0.0,6.0,0,1,1,0,129,0,0,1
fabierb,0.0,0.0,0.0,1.0,13,1,1,0,1,0,0,7
jbowen93,66.0,0.0,0.0,13.0,0,1,1,9,387,0,169,310
kyisaiah47,0.0,0.0,0.0,2.0,0,1,1,1,1932,102,0,16
eugenechantk,11.0,0.0,0.0,11.0,0,1,1,2,1300,5678,6,83
JhojanECO,0.0,0.0,0.0,1.0,0,1,1,0,43,111,0,6
stomx,7.0,0.0,0.0,12.0,1,1,1,0,1,885,0,2
hrnicek,5.0,0.0,0.0,11.0,0,1,1,1,0,0,0,2
WesleyNaude,0.0,1.0,0.0,5.0,0,1,1,0,577,0,0,1
seawatts,0.0,0.0,0.0,14.0,32,2,3,7,1605,3156,0,102
jdrusso,23.0,2.0,0.0,14.0,0,1,1,0,647,598,10,59
jhills20,184.0,0.0,0.0,6.0,38,1,1,2,115,0,40,56
Shadowdancer08,0.0,0.0,0.0,5.0,0,1,1,0,4,0,0,2
BataraKresn,2.0,0.0,0.0,7.0,1,1,1,0,250,10,0,12
samespacecoworking,0.0,0.0,0.0,4.0,0,1,1,0,2,0,0,1
TanerMontaner,0.0,0.0,0.0,5.0,0,1,1,0,0,0,0,2
Projtech,0.0,0.0,0.0,1.0,2,1,1,0,136,0,0,5
zipmatheus,9.0,1.0,0.0,4.0,0,1,1,0,133,0,0,2
captainplanet9000,0.0,0.0,1.0,3.0,0,1,2,0,180,0,0,29
dadodasyra,32.0,1.0,0.0,8.0,20,1,2,19,314,3508,153,53
kienhaminh,2.0,0.0,0.0,9.0,4,1,2,0,102,0,0,34
mitubaEX,31.0,3.0,0.0,11.0,0,1,1,0,582,13432,1,11
Vamsi-Vadala,0.0,0.0,0.0,8.0,0,1,1,1,80,121,4,13
JrLordMoose,0.0,0.0,0.0,3.0,0,1,1,0,209,0,0,1
Noxious1222,0.0,0.0,0.0,3.0,0,1,1,0,19,0,0,3
batgnome,6.0,0.0,0.0,10.0,0,1,1,0,304,85,0,1
mateuscrocha,0.0,0.0,0.0,13.0,0,1,1,0,0,0,0,0
vaskers5,18.0,0.0,0.0,7.0,6,1,2,2,559,668,10,69
ykocaman,44.0,2.0,0.0,13.0,0,1,1,0,52,145,0,2
m4rok97,12.0,0.0,0.0,8.0,0,1,1,0,133,0,0,2
gabrielvrnnn,0.0,0.0,0.0,1.0,0,1,1,0,9,0,0,3
Tiagocys,1.0,0.0,0.0,5.0,14,1,2,0,116,0,0,2
EndoZou,0.0,0.0,0.0,2.0,3,1,2,1,34,0,0,6
Maharishiva,1.0,5.0,0.0,3.0,1,1,1,1,68,0,0,14
codeanddesign110,0.0,0.0,0.0,1.0,0,1,1,0,0,0,0,1
Jamal-dev,8.0,0.0,0.0,6.0,0,1,1,0,506,0,0,4
truebizon,5.0,0.0,0.0,9.0,0,1,1,0,0,0,0,9
NeildKenny,0.0,0.0,0.0,13.0,0,1,1,0,1,0,0,1
ivanferrari95,1.0,0.0,0.0,6.0,35,1,1,5,170,0,0,14
K-Roon,0.0,0.0,0.0,6.0,2,1,2,2,591,2172,0,107
defuz,56.0,11.0,3.0,16.0,0,1,1,2,1,0,0,2
leroyanders,86.0,7.0,2.0,4.0,1,1,1,0,218,0,1,166
Medha-Subramaniyan,0.0,0.0,0.0,2.0,0,1,1,1,146,417,0,0
tariat,0.0,0.0,0.0,10.0,0,1,1,0,304,0,0,2
leosfer,0.0,0.0,0.0,4.0,0,1,1,0,19,0,0,5
jbalde,2.0,2.0,0.0,15.0,0,1,1,0,83,3086,0,1
schmijul,3.0,0.0,0.0,6.0,0,1,1,0,465,10,0,38
mbispo22,0.0,0.0,0.0,8.0,11,1,1,0,54,0,0,17
AlfredBr,4.0,2.0,0.0,11.0,4,1,1,1,659,0,0,9
sabbir-delowar,0.0,0.0,0.0,3.0,19,1,2,0,50,2,0,7
ao-39,5.0,2.0,0.0,6.0,0,1,1,0,192,0,1,25
cjw0011,0.0,0.0,0.0,9.0,0,1,1,1,49,0,0,20
diegohenao819,3.0,0.0,0.0,5.0,0,1,1,0,678,0,0,2
emesinternet,0.0,0.0,0.0,8.0,0,1,1,0,237,4954,0,44
EValeriaAliagaTaborga,11.0,0.0,0.0,9.0,0,1,1,0,38,0,0,2
nhillen,2.0,0.0,0.0,14.0,1,1,1,1,279,0,0,14
Gift-of-R1FT,0.0,0.0,0.0,1.0,0,1,1,0,40,0,0,2
KarolynW,0.0,0.0,0.0,4.0,42,1,3,0,159,0,0,37
jguzikowski,0.0,0.0,0.0,1.0,0,1,1,0,64,0,0,6
RenatoAscencio,2.0,0.0,0.0,13.0,5,1,3,2,65,0,1,40
markafitzgerald1,2.0,1.0,0.0,12.0,1,1,1,0,1046,0,3,105
