login,followers,max_stars,max_forks,account_age,agent_activity_span_days,agent_diversity,agentic_repo_breadth,collab_breadth,5yr_public_commits,5yr_private_work,5yr_reviews_given,5yr_prs_opened
jamack95,0.0,0.0,0.0,4.0,0,1,1,0,88,0,0,1
vipin-verma,0.0,0.0,0.0,12.0,14,1,1,0,37,0,0,6
suke2012,0.0,0.0,0.0,3.0,0,1,1,0,9,0,0,5
wrych,2.0,0.0,0.0,9.0,12,1,1,1,50,0,4,32
potel,0.0,0.0,1.0,10.0,0,1,1,0,38,0,0,1
gokulramanaa,16.0,0.0,0.0,9.0,0,1,1,0,198,1760,0,9
maxie7,6.0,0.0,0.0,11.0,0,1,1,1,384,2598,18,21
ventistudio,2.0,1.0,0.0,6.0,2,1,1,2,135,0,2,11
apierri,12.0,0.0,0.0,15.0,0,1,1,0,23,0,0,4
Phineas1500,12.0,1.0,0.0,8.0,0,1,1,6,299,185,0,9
UOShadowAge,1.0,0.0,0.0,12.0,47,1,1,1,0,0,0,96
saurabh-ai,9.0,0.0,0.0,9.0,0,1,1,0,148,29,29,3
mlft9,0.0,0.0,0.0,2.0,0,1,1,0,35,4,0,1
Aashay98,0.0,0.0,0.0,8.0,2,1,3,1,144,0,0,22
r4topunk,50.0,3.0,4.0,8.0,6,1,2,6,3061,2690,15,98
MoeThet20,2.0,0.0,0.0,9.0,1,1,2,0,129,0,1,15
ZainFaridhony,0.0,0.0,0.0,8.0,0,1,1,0,52,0,0,11
jacklow,0.0,0.0,0.0,13.0,0,1,1,0,9,0,0,4
g992,11.0,0.0,0.0,7.0,0,1,1,1,65,0,0,2
paulo-raoni,77.0,0.0,0.0,9.0,0,1,1,1,73,0,1,4
pasharayan,8.0,0.0,0.0,15.0,0,1,1,5,699,0,0,5
shashank0302,1.0,0.0,1.0,6.0,0,1,1,0,57,0,0,4
KATILUV,0.0,0.0,0.0,1.0,0,1,1,0,21,0,0,1
quanq026,0.0,0.0,0.0,3.0,0,1,1,3,235,0,0,4
Yxuan18,2.0,2.0,0.0,7.0,0,1,1,5,90,0,0,4
Kianosh-Solheim,0.0,0.0,0.0,1.0,0,1,2,0,227,0,0,15
sooneecheah,4.0,0.0,0.0,10.0,3,1,1,0,0,0,0,6
rolandototo,2.0,0.0,0.0,7.0,0,1,1,0,51,0,0,4
KenYu910645,25.0,168.0,85.0,9.0,0,1,1,0,217,45,0,7
AMRICHASFUCK,7.0,0.0,0.0,5.0,0,1,1,4,84,0,0,9
diellor,1.0,0.0,0.0,9.0,0,1,1,0,89,0,0,1
quasaresstudio,0.0,0.0,0.0,2.0,0,1,1,0,0,0,0,0
ShoelessTim,0.0,0.0,0.0,11.0,0,1,1,0,0,0,0,3
Mikemin291,0.0,0.0,0.0,2.0,22,1,3,9,183,0,0,13
LangSage,0.0,0.0,0.0,6.0,4,1,1,0,226,0,0,7
simonsays-techtalk,0.0,0.0,0.0,3.0,0,1,1,1,23,0,0,0
carlopizzuto,0.0,1.0,0.0,8.0,0,1,1,0,268,0,0,2
fredfrancia1991,0.0,0.0,0.0,1.0,6,1,1,0,0,0,0,0
rmatlak99,0.0,0.0,0.0,6.0,0,1,1,0,0,0,0,0
BromeRST,5.0,0.0,0.0,5.0,0,1,1,5,496,6940,10,29
austinv11,54.0,0.0,0.0,12.0,0,1,1,7,763,1205,1,16
kim-aforce,0.0,0.0,0.0,2.0,4,1,1,0,172,0,0,38
dipendra-sharma,19.0,0.0,0.0,10.0,3,1,2,5,260,2094,5,41
zain-codes,2.0,0.0,0.0,3.0,1,1,1,1,90,263,0,5
luisjguedes,0.0,0.0,0.0,2.0,0,1,1,0,224,0,0,3
mikegoat1,9.0,0.0,0.0,5.0,0,1,1,0,601,0,50,65
Alialmandoz,11.0,0.0,0.0,14.0,0,1,1,0,130,0,0,2
avalero,81.0,0.0,0.0,14.0,22,1,2,9,274,4833,35,70
DonkeyJJLove,1.0,0.0,0.0,12.0,0,1,1,0,495,0,0,0
JanekKropidlowski,0.0,0.0,0.0,4.0,0,1,1,0,248,0,0,0
pruittcolon,0.0,0.0,0.0,1.0,0,1,1,0,216,0,0,0
MovieJo,6.0,0.0,0.0,6.0,0,1,1,0,68,1632,0,27
Tomen,46.0,0.0,0.0,16.0,12,1,3,15,601,336,2,69
fredson,1.0,0.0,0.0,14.0,0,1,1,0,15,0,0,4
xtmms,0.0,0.0,0.0,4.0,0,1,1,0,5,12,0,0
Eddie115-x,5.0,0.0,0.0,4.0,0,1,1,1,83,265,0,6
billsun9305,3.0,0.0,0.0,6.0,0,1,1,0,249,325,0,1
dylan-conway,167.0,0.0,0.0,8.0,2,1,1,16,1367,0,704,753
Romer77,0.0,0.0,0.0,4.0,0,1,1,0,4,0,0,1
mkfindus,0.0,0.0,0.0,4.0,0,1,1,0,28,0,0,8
Starverz,0.0,0.0,0.0,1.0,0,1,1,0,23,0,0,3
AdityaBaranwal1,0.0,0.0,0.0,3.0,17,1,2,1,80,27,0,3
cnilsen,2.0,0.0,0.0,13.0,0,1,1,5,684,0,0,62
dogualagoz,9.0,0.0,0.0,4.0,0,1,1,2,222,3,0,3
milinpatel07,3.0,1.0,0.0,7.0,0,1,2,0,30,0,0,3
jemmerichs,9.0,0.0,0.0,11.0,0,1,1,0,21,0,0,2
MElbeshti,1.0,1.0,0.0,11.0,0,1,1,1,17,0,0,1
VanDarkBoy,0.0,0.0,0.0,1.0,8,1,1,0,0,0,0,0
mpperez3,3.0,0.0,0.0,12.0,1,1,1,0,27,101,0,10
ahutanu,4.0,0.0,0.0,4.0,39,1,2,4,79,0,0,9
vrpill-personal,0.0,0.0,0.0,6.0,0,1,1,0,5,0,0,2
charlesa08,0.0,0.0,0.0,1.0,0,1,1,0,0,0,0,0
leahcalor,0.0,0.0,0.0,5.0,0,1,1,0,0,0,0,1
Ilayyos,0.0,0.0,0.0,3.0,5,1,2,0,1,0,3,27
gursimarsingh,3.0,0.0,0.0,9.0,0,1,1,5,16,0,13,66
RSamaium,133.0,1484.0,223.0,15.0,27,2,3,4,832,0,0,60
jaspreetishar,0.0,0.0,0.0,4.0,8,1,1,9,1322,81,19,35
diegocondo10,2.0,0.0,0.0,8.0,0,1,1,0,228,0,0,1
VitaliJud,2.0,6.0,5.0,6.0,9,1,1,0,183,0,0,15
Galgr90,0.0,0.0,0.0,2.0,0,1,1,0,3,0,0,1
Rodrigueslope,0.0,0.0,0.0,1.0,0,1,1,0,295,0,0,1
joaomoutinho2,0.0,0.0,0.0,1.0,7,1,1,0,378,0,0,52
waveblink,0.0,0.0,0.0,3.0,1,1,1,1,180,0,0,11
dangerousbeans,80.0,0.0,0.0,16.0,0,1,1,7,74,3242,0,17
ApplicationMetierSurMesure,0.0,0.0,0.0,2.0,0,1,1,0,5,0,0,2
caiosaldanha,49.0,0.0,0.0,12.0,0,1,1,0,41,0,0,2
3ba2ii,173.0,0.0,0.0,7.0,0,1,1,2,1026,7299,5,45
imran009hussain,0.0,0.0,0.0,3.0,0,1,1,0,0,0,0,0
structurep,0.0,0.0,0.0,1.0,0,1,1,0,0,0,0,0
zariantt,0.0,0.0,0.0,1.0,0,1,1,0,23,8101,0,10
rbnpontes,8.0,1.0,0.0,12.0,49,1,1,2,792,870,0,76
chatbotfarm,0.0,0.0,0.0,2.0,0,1,1,0,14,0,0,1
emadow,25.0,6.0,1.0,16.0,6,1,1,0,32,696,0,5
whiteRoses78,0.0,0.0,0.0,1.0,0,1,1,0,3,0,0,1
LiquidCats,3.0,0.0,0.0,7.0,0,1,1,0,1749,3248,0,138
ashooner,27.0,0.0,0.0,17.0,15,1,2,1,43,0,0,11
Deltros,0.0,0.0,0.0,8.0,0,1,1,0,46,0,0,5
yoanlypa,0.0,0.0,0.0,4.0,1,1,1,0,946,0,0,6
slevel7,0.0,0.0,0.0,3.0,1,1,1,0,6,0,0,2
mkooiman,7.0,0.0,0.0,10.0,0,1,1,0,104,7566,1,5
Julien-Dng,1.0,0.0,0.0,8.0,0,1,1,0,0,0,0,0
Woozyxx,0.0,0.0,0.0,3.0,4,1,3,0,52,0,0,16
ademyl1,0.0,0.0,0.0,1.0,0,1,1,0,1,0,0,1
pereag,7.0,0.0,0.0,9.0,0,1,3,0,81,4,1,15
trainshogi,3.0,0.0,0.0,9.0,0,1,1,0,172,0,0,17
BlackMegaLogan,0.0,0.0,0.0,1.0,0,1,1,1,40,0,1,6
smartbesttechnology,1.0,0.0,0.0,2.0,1,1,1,0,58,0,0,22
ttonych,0.0,0.0,0.0,12.0,1,1,1,0,24,0,0,18
Atella232,0.0,1.0,0.0,2.0,0,1,1,0,114,0,0,5
DFan934,0.0,0.0,0.0,2.0,0,1,1,0,51,0,0,0
stevermeister,271.0,232.0,53.0,14.0,27,1,2,3,4581,0,24,46
billndotnet,4.0,2.0,2.0,12.0,24,1,2,0,26,3649,0,2
EdwardLab,228.0,5.0,0.0,8.0,0,1,1,8,939,10729,0,18
Grayjou,0.0,1.0,0.0,4.0,0,1,1,3,342,197,8,19
technekey,0.0,6.0,2.0,10.0,0,1,1,0,136,0,0,1
remyvnkhiemtruong,0.0,0.0,0.0,2.0,0,1,2,3,102,0,1,12
haronxbelghit,4.0,0.0,0.0,5.0,0,1,1,0,94,0,2,6
goringich,2.0,2.0,1.0,6.0,0,1,1,3,435,305,8,8
kirederik,27.0,0.0,0.0,16.0,43,1,3,11,1547,1292,142,197
avagreyyy4,1.0,0.0,0.0,2.0,2,1,1,1,173,0,0,2
Airizom,3.0,1.0,0.0,14.0,6,1,1,2,125,5512,0,19
karlmaiskiy,0.0,0.0,0.0,13.0,0,1,1,0,3,0,0,2
LEXIA-Saito,0.0,0.0,0.0,5.0,0,1,1,0,1026,0,2,287
S8ojak,8.0,0.0,0.0,5.0,0,1,1,0,10,0,0,3
hevnsnt,386.0,0.0,0.0,13.0,0,1,1,3,947,1910,3,52
KINGDEMON6700,0.0,0.0,0.0,1.0,0,1,1,0,0,0,0,0
solid-pixel,2.0,29.0,1.0,10.0,0,1,1,2,138,0,1,25
spcbernard,0.0,0.0,0.0,1.0,0,1,1,0,3,0,0,1
Gustrigos,29.0,0.0,0.0,8.0,1,1,1,1,67,1095,1,6
zaibann,0.0,0.0,0.0,2.0,0,1,1,0,8,0,0,3
kampux,0.0,0.0,0.0,11.0,0,1,1,0,0,0,0,0
ngonzalez91,0.0,0.0,0.0,11.0,0,1,1,0,0,0,0,0
Roar1971,0.0,0.0,0.0,2.0,2,1,1,0,0,0,0,0
lance0805,6.0,0.0,0.0,14.0,0,1,1,0,41,887,0,2
ferhadx,0.0,0.0,0.0,1.0,0,1,1,0,0,0,0,0
matviimykhailichenko,5.0,0.0,0.0,4.0,22,1,2,0,216,0,0,0
Bloodwarrior,0.0,0.0,0.0,8.0,0,1,2,0,23,0,0,14
gowerc,0.0,0.0,0.0,12.0,0,1,1,0,0,0,0,0
brandonhorner,2.0,2.0,0.0,8.0,0,1,1,0,118,18,0,2
flkcgn,1.0,0.0,0.0,3.0,1,1,1,1,36,74,0,4
FarzadMo,1.0,2.0,0.0,7.0,0,1,2,0,0,0,0,0
Dizzysky1,0.0,0.0,0.0,3.0,0,1,1,0,78,0,0,2
ra312,26.0,0.0,0.0,11.0,0,1,1,1,132,1046,0,50
seira93,0.0,0.0,0.0,5.0,0,1,1,0,2,0,0,0
AndreiMarhatau,0.0,0.0,0.0,7.0,0,1,1,2,301,0,0,168
aleky81,0.0,0.0,0.0,1.0,0,1,1,0,4,0,0,1
dhobdy062,0.0,0.0,0.0,7.0,0,1,1,1,1402,0,1,5
honigkuchenhengst,1.0,0.0,0.0,4.0,0,1,1,0,56,0,0,6
kamalarnav04,0.0,1.0,0.0,3.0,0,1,2,0,41,0,0,4
Frknslmn50,4.0,0.0,0.0,6.0,0,1,1,0,174,0,0,2
jizhang495,11.0,0.0,0.0,6.0,39,1,2,0,132,0,0,22
edumenotti,0.0,1.0,0.0,5.0,0,1,1,1,41,0,0,9
mark-tide,0.0,0.0,0.0,2.0,0,1,1,1,6,0,0,1
AlexIvan333,0.0,1.0,0.0,3.0,0,1,1,0,268,0,0,17
jakubciszak,2.0,2.0,0.0,9.0,0,1,1,0,263,0,11,40
ddubyah,10.0,0.0,0.0,17.0,0,1,1,0,20,1909,0,3
joelwk,2.0,1.0,0.0,6.0,23,1,1,0,363,1038,0,13
salmarsumi,2.0,0.0,0.0,9.0,1,1,1,0,265,1590,0,5
yuvaraj-neelagandan,6.0,0.0,0.0,12.0,0,1,1,0,105,0,0,1
AlexV3900,0.0,0.0,0.0,1.0,0,1,1,0,5,0,0,2
