login,collab_breadth,5yr_public_commits,5yr_private_work,5yr_reviews_given,5yr_prs_opened
AliceInWonderland100,0,3,0,0,1
AlicornIndustries,0,73,0,0,2
AlidesChimin,0,101,0,2,6
AlieN-Lekker,1,40,0,0,17
Alien-AV,1,376,296,0,90
AlienScribe,0,87,0,0,31
AlighieriDxGG,0,0,0,0,0
Aliilla,0,15,0,0,1
Alikarakalla,1,22,0,0,10
Alily223,0,335,1,0,26
Alims-Repo,0,588,1573,4,15
AlinaKurjan,0,31,83,1,8
AlinariC,0,702,18,0,177
Alirahimi4321,0,3,0,0,1
Alireza1379-AI,1,78,0,0,4
Alireza78na,4,127,0,0,59
AlirezaAlibolandi,0,59,1233,0,2
AlirezaMorsali,2,435,1045,32,70
Alisa-Novik,0,401,0,0,51
Alisafoxy,0,21,0,0,1
Alishahed,2,111,55,0,4
Alisher-Bulatov,0,83,0,0,3
Alison-Tseng,0,6,0,0,3
AlisonLuan,3,117,0,0,24
AlisonSarto,0,377,574,1,12
AlizadeM,0,92,1534,0,12
Alkass,2,225,167,0,163
Alkherej-Karam,1,14,0,0,1
Alkimik9000,0,269,0,0,27
All8yMySelf,3,625,0,0,306
AllCott25,0,0,0,0,0
AllEnough,1,214,0,0,2
AllPro123,0,1,0,0,2
AllTerrainDeveloper,2,191,2661,161,220
AllanAviana,0,170,0,0,1
AllanDoval1,0,3,0,0,1
AllanF01,0,39,0,0,1
AllanGabay,1,0,0,0,0
AllanMedeiros,0,11,0,0,1
AllanSchergerGitHub,0,31,633,0,33
AllanYiin,0,1752,0,0,332
AllanceBoom,0,5,0,0,1
Allen-077,0,3,0,0,1
Allen-Rogers,0,1,0,0,2
AllenGSimpson,1,207,480,0,66
AllenLVieira,0,487,76,0,53
AllenMcAfee,1,28,23,0,16
Allenwang214,0,1,0,0,1
AllexxT,0,16,0,0,3
Alleyfoo,0,281,753,5,19
Allgamepicks,0,25,0,3,10
AllgoZ,0,67,0,0,17
Alli1223,0,181,0,0,114
AlliceRoyale,0,19,0,0,13
AllieBaig,0,3266,0,0,79
allierays,9,1407,1431,0,167
Allo11727,0,135,0,0,18
Alloysj,2,225,297,0,26
Allrounder687,1,112,0,0,8
AllyMurray,0,677,993,0,111
AllyssaLyddell,0,0,0,0,0
Almag3000,0,121,0,0,45
Almaz-KG,13,1010,2323,1,76
Almehedi06,2,216,0,1,6
Almeidajf37,0,0,0,0,0
Almichot-1,0,126,0,0,1
AlmightyTopher,0,594,0,0,24
Alna7as,0,90,0,0,2
Alnuyt,0,203,0,0,1
Alody,0,86,132,0,1
Alojamientos-Morona,1,130,0,0,46
AlokAtGit-dev,0,35,0,0,3
AlokMishrra,0,33,0,0,2
AlomaryAli,2,108,0,0,2
Alon-Abekasis,0,4,0,0,2
AlonsoFuentesGTZ,1,53,0,0,16
Alonsoich,0,11,0,0,1
Aloush7717,0,1,0,0,1
AloveZ66671,0,4,0,0,1
AloyASen,11,211,2379,0,22
AlpSantoGlobalMomentumLLC,2,123,0,0,3
Alpacorp,0,2558,213,9,510
Alpaka3,0,53,0,0,8
AlparslanKilinc,0,598,154,2,30
Alper2016,0,0,0,0,2
AlperCamli,0,46,0,0,3
AlperGuven,3,54,8998,0,8
AlperTheKing,0,330,0,0,1
AlperenKonukbay,0,12,0,0,1
AlphCSR,3,74,0,0,15
Alpha-ia-tecnologia,1,46,0,0,7
Alpha3433,0,5959,0,0,273
Alpha4615,3,52,3767,0,14
AlphaCTX,0,159,0,0,36
AlphaDataOmega,0,5,0,0,0
AlphaGit,1,883,5767,19,48
AlphaIADA,0,187,0,0,57
AlphaKitty,2,28,0,0,1
Alphamageddon,0,8,0,0,9
Alphayellowcat,5,7,0,0,8
Alphobla,0,55,0,0,2
Alphonsus411,1,3675,4205,0,1824
AlpineKim,0,47,0,0,5
Alprnpkd,0,11,0,0,1
Alsadiq-Ahmad,0,53,0,0,3
Alsep24,0,50,0,0,22
Also160,0,4,0,0,1
Alsparter,0,12,0,0,3
AlstonXiao,1,347,0,15,54
Altairu,5,529,69,2,3
AltamarMx,16,1735,1791,7,22
AltamimiYasser,1,337,420,0,7
Altec-Dev,0,9,0,0,1
AltoB265,0,5,0,0,3
Altunaijimbs,0,4,0,0,1
AlucaYamil,0,25,0,0,2
Alusionbr,0,31,0,0,24
AlvarezLopezAlberto,0,89,0,0,7
AlvaroAmi,3,207,23,0,1
AlvaroFGarcia,0,88,0,1,58
AlvaroGui02,0,54,0,0,0
AlvaroLS01,0,1574,0,0,722
AlvaroLuken,7,550,845,105,202
AlvaroMelo,0,9,0,0,1
AlvaroMoreno39,0,147,0,0,2
AlvaroSanchezGlasgow,0,8,380,0,0
AlvaroVidal21,0,81,0,0,1
Alvarofdh,0,75,0,0,2
Alvaroinfantee,0,150,250,0,1
Alvaromah,0,47,359,1,9
AlverezYari,1,483,620,0,263
Alves224,0,18,0,0,4
Alvetore,0,30,0,0,4
Alvie40,0,207,0,1,51
AlvinRadeka,1,16,1424,5,21
Alvisd12,0,24,0,0,6
Alvisor,0,89,30,0,8
AlwaysMorty,0,19,0,0,2
AlxJiachen,0,28,0,0,7
Alxp1,2,3,0,0,2
Aly-Sall,1,154,0,0,3
Alya-Chen,0,8,0,0,3
AlyssonVanelli,0,198,0,0,3
Am015-dev,0,0,1036,0,2
Romeon97,0,5,0,0,2
Romer77,0,4,0,0,1
RomeroPablo,2,363,577,6,4
Romi-Walker,0,3,0,0,2
RommalaDileep,0,1,0,0,1
RompfRobert,0,129,301,0,3
RomualdNiss,0,35,432,0,1
RomualdYT,1,13,2136,0,3
Romulo-Castro,1,62,21,0,14
Romulo-Queiroz,3,1005,686,0,17
Romulo2208,0,15,0,0,14
RomuloCifer,0,179,0,0,3
RonFed,9,754,1613,825,404
RonPoly,0,285,0,0,126
RonRayvon,0,122,64,0,1
RonaldPaskiang,0,36,0,1,4
Ronaldo-Kadenasty,0,1,0,0,2
RonaldoHorta159,3,136,0,0,3
RonanDaly,1,21,0,0,3
RonanKMcGovern,24,1851,5928,10,14
Rondeygod,0,41,0,0,5
Rone221,2,151,691,0,15
RongzhiZuo,0,10,16,0,4
RoniErdem,0,0,0,0,0
Ronit26x,0,98,0,0,3
Ronjea,2,10,14002,1,9
Ronnie-Reagan,5,722,97,0,29
Ronnie434,1,107,0,2,6
RonnieMbugua,0,31,0,0,1
Ronuhz,5,165,487,0,25
RonxBulld,4,54,0,0,26
Rony20191,0,71,0,0,6
Ronzosimone,0,26,0,3,11
