login,followers,max_stars,max_forks,account_age,agent_activity_span_days,agent_diversity,agentic_repo_breadth
Mahmoudthoughts,0.0,0.0,0.0,9,8,1,1
vpetersson,117.0,0.0,4.0,16,53,1,2
pavlo209,0.0,0.0,0.0,10,1,1,1
dobler1988,0.0,0.0,0.0,1,0,1,1
dataprecision,0.0,0.0,0.0,9,4,1,2
aaronxcuevas,0.0,0.0,0.0,3,0,1,1
abuzuhri,48.0,236.0,211.0,13,2,1,1
radhika-athenian,0.0,0.0,0.0,1,11,1,3
koyama0318,2.0,0.0,0.0,7,0,1,1
transphorm,98.0,0.0,0.0,18,37,1,1
thenarrowgate,0.0,0.0,0.0,3,44,1,1
AquilaAscension,0.0,0.0,0.0,4,0,1,1
maxlitvinov93,0.0,0.0,0.0,6,0,1,1
alexander-bauer-xr,0.0,0.0,0.0,6,1,1,1
bnishit,0.0,0.0,0.0,9,31,1,2
AkiEvansDev,0.0,0.0,0.0,8,34,1,2
jpantsjoha,8.0,6.0,6.0,9,55,2,1
chaniniz,0.0,0.0,0.0,1,12,1,2
Akzuwo,1.0,0.0,0.0,2,13,1,4
TesterSim2,0.0,0.0,0.0,3,24,1,4
praveen2288,3.0,0.0,0.0,13,8,1,1
mateuszmigas,16.0,167.0,6.0,7,0,1,1
denidandeni,0.0,0.0,0.0,12,19,1,1
Vital388,0.0,1.0,0.0,11,0,1,1
ZachMcCool,0.0,0.0,0.0,4,16,1,1
JuanERombado,0.0,0.0,0.0,9,0,1,1
Shar1q-codes,2.0,0.0,0.0,6,12,1,2
YeongJun-Jeon,0.0,0.0,0.0,4,21,1,1
mariaandreealavric,0.0,0.0,0.0,2,12,1,1
sarshenm,0.0,0.0,0.0,3,0,1,1
VictorVVedtion,0.0,0.0,0.0,3,4,1,1
0xd669,119.0,1.0,0.0,12,0,1,1
sysantonio,0.0,0.0,0.0,11,5,1,2
kdosiodjinud,16.0,0.0,0.0,13,0,1,1
kevon-vems,1.0,0.0,0.0,3,24,1,2
wzfukui,5.0,0.0,0.0,3,10,1,1
ak2i,9.0,1.0,0.0,16,58,1,2
bogdan-lmk,2.0,0.0,0.0,10,13,1,5
rmuenste,1.0,0.0,0.0,15,41,1,3
richardpauldev,1.0,0.0,0.0,10,21,1,2
lianqiao12745,0.0,0.0,0.0,1,15,1,1
ga-mi-keke,0.0,0.0,0.0,2,0,1,1
nix647,0.0,0.0,0.0,3,2,1,1
SuperSonicSites,0.0,0.0,0.0,6,4,1,2
aeobrien,0.0,0.0,0.0,4,0,1,1
Camilocg35,0.0,0.0,0.0,1,0,1,1
Thalles2811,0.0,0.0,0.0,1,0,1,1
arthuraleite,0.0,0.0,0.0,7,0,1,1
zpirzada,0.0,0.0,0.0,7,0,1,1
KoriKosmos,2.0,0.0,0.0,5,15,1,1
shalnoypatron1331,0.0,0.0,0.0,1,1,1,1
fontanierh,25.0,0.0,0.0,11,0,1,1
Remlagret-se,0.0,0.0,0.0,1,0,1,1
FacundoSpreafico,3.0,0.0,0.0,3,0,1,1
bjarkehs,22.0,0.0,0.0,14,13,1,2
MFaizanZ,0.0,0.0,0.0,3,0,1,1
SepyMovasat,5.0,0.0,0.0,5,1,1,1
JimmyUA,3.0,0.0,0.0,9,5,1,1
MaximeRivest,68.0,230.0,14.0,11,8,1,2
isnpiring-impact,0.0,0.0,0.0,2,32,1,1
CrownedRazberry,0.0,0.0,0.0,6,1,1,1
Jhalaas,0.0,0.0,0.0,1,1,1,2
JCASTANO,29.0,2.0,0.0,11,30,1,2
nikolaiborbe,6.0,0.0,0.0,4,3,1,1
Eccentric-jamaican,0.0,0.0,0.0,1,0,1,1
thumer,3.0,0.0,0.0,12,64,1,4
s-zankalony,83.0,0.0,0.0,8,0,1,1
anassbellache,0.0,0.0,0.0,6,37,1,2
SorryForMyEnglish,0.0,0.0,0.0,1,18,1,1
jayheavner,0.0,0.0,0.0,13,1,1,1
mkonefal2,1.0,0.0,0.0,5,41,1,3
lkraav,113.0,0.0,0.0,17,0,1,1
nikkhilpareek,12.0,1.0,0.0,4,0,1,1
lukemurraynz,441.0,1612.0,328.0,10,0,1,1
Livi-maker,9.0,0.0,1.0,2,0,1,1
athipan1,0.0,1.0,0.0,2,1,1,2
adrianhasse,1.0,0.0,0.0,9,0,1,1
MiningIrving,0.0,0.0,0.0,6,0,1,1
alirezamika,254.0,6867.0,716.0,10,0,1,1
DeyvidJesus,15.0,0.0,0.0,5,5,1,2
FacundoLuna16,1.0,0.0,0.0,6,3,1,1
mcnugit,5.0,1.0,0.0,13,5,1,3
IskraCodes,0.0,0.0,0.0,4,0,1,1
xentristech,0.0,0.0,0.0,1,0,1,1
Crumflight,0.0,0.0,0.0,2,0,1,1
AlbertoMasr,5.0,0.0,0.0,6,0,1,1
AI-IAN,0.0,0.0,0.0,1,0,1,1
marlo1337,0.0,0.0,0.0,1,0,1,1
tacticsiege,8.0,0.0,0.0,13,8,1,1
geritwagner,29.0,0.0,0.0,13,12,1,6
dewolixgit,2.0,0.0,0.0,6,7,1,1
NidhiChoudhary7,5.0,0.0,1.0,6,2,1,1
kdbock,0.0,0.0,0.0,2,0,1,1
gafszap,0.0,0.0,0.0,2,0,1,1
LeHuyTuong,5.0,4.0,0.0,6,1,1,3
wbell2000,0.0,0.0,0.0,6,0,1,1
bogdannnnnnnn,5.0,0.0,1.0,6,0,1,1
clarkFist,0.0,1.0,0.0,3,20,1,2
Demothedread,0.0,0.0,0.0,4,53,1,2
raph714,6.0,0.0,0.0,14,14,1,1
GavinTunnell,0.0,0.0,0.0,1,0,1,1
leonardsellem,21.0,1041.0,164.0,14,21,2,2
paulutsch,9.0,0.0,0.0,6,0,1,1
0zzyy,0.0,1.0,0.0,6,26,1,7
ratovia,25.0,0.0,0.0,11,10,1,2
okz,4.0,0.0,0.0,13,8,1,1
AetherCoded,1.0,0.0,0.0,12,1,1,1
bouassaba,17.0,0.0,0.0,12,12,1,1
mr-tanta,15.0,0.0,0.0,5,0,1,1
JackyeC,0.0,0.0,0.0,13,21,1,1
ankitpoudel1,6.0,0.0,0.0,9,0,1,1
czpavsed,0.0,0.0,0.0,2,0,1,1
rcrades,0.0,0.0,0.0,13,0,1,1
Toroid153846,0.0,0.0,0.0,4,0,1,1
ChFxPro,0.0,0.0,0.0,4,31,1,3
Matgig-ai,0.0,0.0,0.0,2,0,1,1
Yoko5566,0.0,0.0,0.0,5,0,1,1
Xramas,9.0,1.0,0.0,4,44,1,2
OniJoshin,1.0,0.0,0.0,8,1,1,2
msamunetogetoge,3.0,0.0,0.0,7,2,1,2
Jokekill,3.0,0.0,0.0,9,0,1,1
Scobber,2.0,0.0,0.0,13,27,1,3
piopratama,4.0,1.0,0.0,12,0,1,2
futoshi-futami,5.0,0.0,0.0,10,0,1,1
gonzajim,2.0,0.0,0.0,16,19,1,1
jamesondh,39.0,0.0,0.0,13,1,1,1
animeing,1.0,0.0,0.0,10,40,1,1
babydjac,2.0,1.0,1.0,3,0,1,2
tapnicom,0.0,0.0,0.0,3,2,1,2
hozansahin,26.0,0.0,0.0,7,0,1,1
frankxai,3.0,1.0,0.0,3,5,1,4
d-p-harms,1.0,0.0,0.0,3,0,1,2
detyse,1.0,0.0,0.0,9,20,1,2
no-c-123,0.0,0.0,0.0,3,0,1,1
Foysal87,65.0,0.0,0.0,9,0,1,1
chan-ok,6.0,0.0,0.0,4,14,2,2
siberkolosis,0.0,0.0,0.0,6,0,1,1
jonathanhatch,1.0,0.0,0.0,8,0,1,1
haggisswap,1.0,0.0,0.0,4,0,1,1
aweuve,0.0,0.0,0.0,1,0,1,1
adnrewc,0.0,0.0,0.0,1,1,1,1
MrGoodTimeBigBoy,1.0,0.0,0.0,5,0,1,1
MauricioTeruel98,7.0,0.0,0.0,5,0,1,1
sajadaljbouri1-tech,0.0,0.0,0.0,1,0,1,1
jasonethicseo,0.0,0.0,0.0,2,0,1,1
drdavedqp,0.0,0.0,0.0,2,0,1,1
ameibrahim,16.0,0.0,0.0,8,0,1,1
ianmgdev,0.0,0.0,0.0,4,0,1,1
pclarkiv,2.0,0.0,0.0,6,0,1,1
vwcamper77,0.0,0.0,0.0,10,0,1,1
ho9036,4.0,0.0,0.0,9,0,1,1
brandongraves08,7.0,0.0,0.0,11,1,1,1
kzmyvr,10.0,0.0,0.0,13,22,2,2
yamat247,0.0,0.0,0.0,1,33,1,2
coderedlab,0.0,0.0,0.0,1,0,1,1
ucok-hub,5.0,0.0,0.0,7,0,1,2
janith-rathanyaka,3.0,0.0,0.0,6,0,1,1
diaasabbagh,0.0,0.0,0.0,8,0,1,1
NicholasErick,1.0,0.0,0.0,5,2,1,2
cajacko,13.0,0.0,0.0,11,30,1,1
mariotoffia,22.0,1365.0,100.0,14,2,1,1
edwardemoryphotography,1.0,1.0,0.0,5,31,1,1
andrewdkennedy1,0.0,0.0,0.0,9,3,1,2
NeonN3mesis,8.0,0.0,0.0,3,1,1,1
sfn101,7.0,0.0,0.0,8,0,1,2
0xA9UA,0.0,0.0,0.0,8,55,1,3
merlinfachetti,0.0,0.0,0.0,11,0,1,1
chrisbigart,0.0,0.0,0.0,10,0,1,1
1aeo,0.0,2.0,0.0,1,45,2,1
TheStarkster,21.0,0.0,0.0,8,1,1,1
behnamb2,0.0,0.0,0.0,3,0,1,1
mpaulucci,44.0,0.0,0.0,15,6,1,2
SpencerOs,0.0,0.0,1.0,12,0,1,1
ALI1111111111,2.0,0.0,0.0,7,8,1,2
xogusrns123,1.0,0.0,0.0,5,0,1,1
officerdwn,2.0,2.0,0.0,3,1,1,2
antontranelis,13.0,0.0,0.0,9,15,1,2
tonymeehan,15.0,0.0,0.0,10,2,1,3
Uli-Neu,0.0,0.0,0.0,1,3,1,1
binyaminMAKONEN,14.0,2.0,0.0,4,0,1,1
kakahu2015,0.0,0.0,0.0,10,0,1,1
gomesrocha,89.0,0.0,0.0,13,0,1,1
Roadhoar,0.0,0.0,0.0,1,0,1,1
joe-broadhead,3.0,5.0,1.0,5,1,1,1
ameya44,0.0,0.0,0.0,12,1,1,1
zxTyphoon,5.0,0.0,0.0,4,0,1,1
kvalencee,4.0,0.0,0.0,2,2,1,1
derrickquinn,1.0,0.0,0.0,7,0,1,1
yalcinme,0.0,0.0,0.0,1,0,1,1
haripery,8.0,0.0,0.0,10,0,1,1
ruicc,28.0,0.0,0.0,15,0,1,1
claudiojunior-me,11.0,0.0,0.0,14,6,1,1
SGhost2501,0.0,0.0,0.0,2,3,1,2
kallervla,0.0,0.0,0.0,1,0,1,1
swapnilgaware,3.0,0.0,0.0,9,0,1,1
marvin3w,25.0,0.0,0.0,12,0,1,1
Mazenosamaa,0.0,0.0,0.0,4,0,1,1
YutoOzawa,0.0,0.0,0.0,3,12,1,1
smp239,0.0,0.0,0.0,4,0,1,1
Feedbaek,26.0,0.0,1.0,6,41,1,2
Sinamozaffarirad,1.0,0.0,0.0,4,0,1,1
fjakira,0.0,0.0,0.0,7,0,1,1
menjoo,6.0,0.0,0.0,13,0,1,1
ivanfioravanti,251.0,97.0,7.0,15,4,1,1
kelpalmas,0.0,0.0,0.0,1,0,1,1
elmtalab,3.0,0.0,0.0,8,23,1,2
bozi6,2.0,0.0,0.0,8,0,1,1
kennyHH,2.0,0.0,0.0,5,0,1,2
joelhooks,1061.0,0.0,0.0,17,0,1,1
LourensC,0.0,0.0,0.0,10,1,1,2
Reakwind,0.0,0.0,0.0,7,0,1,1
snagori28,0.0,0.0,0.0,2,0,1,1
JorenB,4.0,8.0,1.0,15,2,1,1
uribecesar,0.0,0.0,0.0,13,0,1,1
filipetomita,6.0,1.0,0.0,9,0,1,1
MhdKernel,4.0,0.0,0.0,1,0,1,1
davi-canuto,35.0,1.0,2.0,5,16,1,2
srinitech-ai,1.0,0.0,0.0,1,4,1,1
Noc-t,0.0,0.0,0.0,3,0,1,1
lucasns97,11.0,0.0,0.0,8,0,1,1
robsonlc,0.0,1.0,0.0,14,42,1,2
ertra,2.0,6.0,3.0,15,0,1,1
Rih0z,7.0,3.0,1.0,12,5,1,2
muguira,2.0,0.0,0.0,8,1,1,1
dvirarielsh,0.0,0.0,0.0,3,0,1,1
flunkscommunity,0.0,0.0,0.0,2,0,1,1
ab6361,0.0,0.0,0.0,4,0,1,1
Satyam-Bhalla,136.0,1.0,1.0,10,5,1,2
patricksomerville,0.0,0.0,0.0,2,0,1,1
sursani,4.0,0.0,0.0,16,12,2,1
RovshanMuradov,6.0,0.0,0.0,6,0,1,1
zeonjiho,5.0,0.0,0.0,6,1,1,1
jibla,89.0,24.0,4.0,16,0,1,1
mtwig95,1.0,1.0,0.0,6,0,1,1
artanrexhepiinki964,0.0,0.0,0.0,3,3,1,2
wizkid057,60.0,0.0,0.0,14,0,1,1
Boda-CyA,0.0,0.0,0.0,1,0,1,1
Maxiviper117,8.0,0.0,0.0,11,0,1,1
Ricktorres0909,0.0,0.0,0.0,1,11,2,2
arpjw,0.0,1.0,0.0,6,5,1,2
Ghost-of-Maverick,1.0,0.0,0.0,4,1,1,1
lorentsob,0.0,0.0,0.0,5,27,1,2
lesskurdybaha,0.0,0.0,0.0,1,0,1,1
riveryc,3.0,0.0,0.0,11,0,1,1
DavidF2714,1.0,0.0,0.0,5,0,1,1
