login,followers,max_stars,max_forks,account_age,agent_activity_span_days,agent_diversity,agentic_repo_breadth
abeshay2306,0.0,0.0,0.0,1,5,1,2
Mrice90,0.0,0.0,0.0,4,7,1,2
wlzerd,0.0,0.0,0.0,6,55,1,5
l0lsec,2.0,0.0,0.0,7,40,1,2
sktbrd,40.0,0.0,0.0,4,19,1,1
schwarzenbocher,0.0,0.0,0.0,3,0,1,1
DennisGoldfarb,7.0,0.0,0.0,12,49,1,4
onskydeep35,0.0,0.0,1.0,1,9,1,2
deepaucksharma,10.0,1.0,1.0,13,35,1,5
martmega,0.0,0.0,0.0,12,19,1,1
katspaugh,663.0,9541.0,1711.0,16,56,1,2
HocineBoudieb,0.0,0.0,0.0,8,2,1,1
SnyderConsulting,0.0,0.0,0.0,5,10,1,2
LuanFuentes,0.0,1.0,0.0,6,0,1,1
Bruno-Franz,0.0,0.0,0.0,3,17,1,1
Jarsandres,0.0,0.0,0.0,4,4,1,1
txssu,6.0,0.0,0.0,12,12,1,2
LucaLaPenna,0.0,0.0,0.0,7,27,1,1
Mantonherre,1.0,0.0,0.0,6,10,1,1
elboKazQC,0.0,0.0,0.0,1,15,1,3
jinopapo,4.0,0.0,0.0,12,2,1,1
RomanVarenyk,6.0,0.0,0.0,6,5,1,1
B0ss-M,0.0,0.0,0.0,1,14,1,2
Da-harmony-of-numbers,0.0,0.0,0.0,6,0,1,1
AVGVSTVS96,16.0,0.0,0.0,3,1,1,1
etreed14,0.0,0.0,0.0,4,30,1,3
ymankh,5.0,0.0,0.0,7,15,1,1
gabrielrosinski,0.0,0.0,0.0,14,0,1,1
MrME-CodeSmith,0.0,0.0,0.0,5,13,1,1
xinranhe,7.0,0.0,0.0,13,6,1,1
alirezaabbaszadeh,1.0,0.0,0.0,10,1,1,2
lucasmarcelin0,0.0,0.0,0.0,6,13,1,1
adrianogil,69.0,0.0,0.0,16,0,1,2
basstian-ai,0.0,0.0,0.0,1,29,1,1
Aitthi,4.0,0.0,0.0,9,0,1,1
drperky20,1.0,0.0,0.0,1,11,2,1
icedmoca,50.0,0.0,0.0,9,2,1,3
riccardo-florio,0.0,0.0,0.0,5,27,1,1
Joshieww,0.0,0.0,0.0,3,0,1,1
ivanlay,3.0,0.0,0.0,11,71,1,2
zilinwang617,2.0,0.0,0.0,3,39,1,3
pooravdhingra,0.0,0.0,0.0,7,41,1,1
mattiacreates,1.0,1.0,0.0,1,24,1,1
smittjp,0.0,0.0,0.0,2,4,1,1
grrowl,56.0,0.0,0.0,15,0,1,1
naron-py,0.0,0.0,0.0,5,48,1,3
ropal-m,0.0,0.0,0.0,2,0,1,1
Nathacher84,0.0,0.0,0.0,3,0,1,1
hwalde,4.0,0.0,0.0,8,3,1,2
Yana023,3.0,0.0,0.0,13,0,1,1
daniel-nalbach,2.0,0.0,0.0,11,0,1,1
roanmatthijs,0.0,0.0,0.0,3,1,1,1
kevin-cantwell,48.0,0.0,0.0,16,9,1,2
Abdul038-beep,0.0,0.0,0.0,1,0,1,1
poppak86,0.0,0.0,0.0,1,2,1,1
nhfish,0.0,1.0,0.0,1,13,1,2
bfindeiss,2.0,0.0,0.0,15,4,1,1
MarkiZdeGenerAt,0.0,0.0,0.0,4,6,1,1
miemasa,0.0,0.0,0.0,2,24,1,1
JavierGarcia131012,0.0,0.0,0.0,8,5,1,1
B1RO,4.0,0.0,0.0,10,1,1,1
yu314-coder,1.0,2.0,0.0,2,36,1,3
StanDobrev11,3.0,0.0,0.0,3,3,1,1
shrenikbhansali,0.0,0.0,0.0,11,32,1,2
caua-carvalho,0.0,1.0,0.0,2,37,1,3
SeppeHannen,1.0,0.0,0.0,6,4,1,1
cunhuav,1.0,1.0,0.0,5,0,1,1
designfenix,1.0,0.0,0.0,12,34,1,2
MinhoGro,0.0,0.0,0.0,2,1,1,1
kalyanar4,0.0,1.0,0.0,10,16,1,1
Dave490,0.0,0.0,0.0,11,0,1,1
ethtri,0.0,0.0,0.0,3,10,1,1
wyattphillips-philips,0.0,0.0,0.0,4,51,1,2
1RWT16KU1D,1.0,0.0,0.0,4,25,1,1
agusmontesi,2.0,0.0,0.0,6,0,1,1
SwiftNicholas,2.0,0.0,0.0,10,0,1,1
tombooth,53.0,0.0,0.0,17,1,1,1
LopatinaViktoria,0.0,0.0,0.0,1,5,1,1
Micah-L,4.0,1.0,0.0,8,1,1,1
Roberto-Rodriguez-01,8.0,0.0,0.0,7,1,1,1
uwesterr,10.0,0.0,0.0,10,2,1,1
adhuhaam,1.0,0.0,0.0,8,28,2,5
ManiWizard,0.0,0.0,0.0,6,0,1,1
prasannaganesan,1.0,0.0,0.0,13,11,1,1
koala73,10.0,0.0,1.0,15,11,1,1
kota-kawa,0.0,0.0,0.0,2,53,1,3
Shlawpers,0.0,0.0,0.0,1,1,1,1
sanket467,0.0,0.0,0.0,10,0,1,1
stagedevices,0.0,0.0,0.0,1,3,1,1
rohanod,2.0,0.0,0.0,2,7,1,1
Artew-spec,0.0,0.0,0.0,1,17,1,1
Varuno8,12.0,0.0,0.0,3,34,1,2
TamaraVioleau,12.0,0.0,0.0,4,1,1,1
Zetascrub,5.0,1.0,0.0,11,48,1,6
jose-cantu,1.0,0.0,0.0,2,43,1,2
TheLayman,2.0,0.0,0.0,10,37,1,3
dvdwasibi,53.0,0.0,0.0,13,7,1,1
shinee0130,0.0,0.0,0.0,2,10,1,1
RonPoly,0.0,0.0,0.0,1,14,1,5
s16040,0.0,1.0,0.0,7,0,1,1
jimin-lee-1122,0.0,0.0,0.0,1,0,1,1
BrunoFiorin,0.0,0.0,0.0,2,1,1,1
johannesCmayer,6.0,0.0,0.0,10,0,1,1
bernardhanna,1.0,0.0,0.0,7,17,1,2
alexturvy,0.0,0.0,0.0,11,6,1,2
hikartik,0.0,0.0,0.0,3,2,1,3
wickedyoda,11.0,1.0,0.0,6,25,1,9
kisamori,0.0,0.0,0.0,10,4,1,1
costaeder,0.0,0.0,0.0,10,2,1,1
eric861129,0.0,0.0,0.0,6,8,1,1
PaulBodelot15,0.0,0.0,0.0,2,1,1,2
skid-dev,1.0,0.0,0.0,6,27,1,2
themaras,0.0,0.0,0.0,12,0,1,1
juliomajara,0.0,0.0,0.0,2,31,1,1
chrstphdm,14.0,0.0,0.0,12,0,1,1
PiotrTarant,0.0,0.0,0.0,1,2,1,1
MohamedAmineMacherki,2.0,1.0,0.0,2,0,1,1
zxul767,13.0,1.0,0.0,16,2,1,1
akmshasan,0.0,0.0,0.0,11,0,1,1
Rahuldrabit,3.0,0.0,0.0,4,5,1,2
reif-is-a-foofie,0.0,0.0,0.0,14,3,1,1
incap-za,0.0,0.0,0.0,1,7,1,0
Placksistemasconstrutivos,0.0,0.0,0.0,1,0,1,1
earauzt,0.0,0.0,0.0,2,39,1,2
na-proyectran,0.0,1.0,0.0,1,20,1,2
aramalipoor,111.0,0.0,0.0,15,0,1,1
Menschomat,18.0,0.0,0.0,10,3,1,1
reganludwar,0.0,0.0,0.0,1,1,1,1
SupremeBender,0.0,0.0,0.0,7,51,1,2
luizomf,8100.0,8.0,0.0,15,24,1,2
Raincloud657,0.0,0.0,0.0,4,13,1,2
a1ibekov,0.0,0.0,0.0,3,0,1,1
Gelex-Electric,0.0,0.0,0.0,2,55,1,1
GurpinderSinghooo1,0.0,0.0,0.0,2,0,1,1
tharteveld26,0.0,0.0,0.0,3,2,1,2
DamiGo,0.0,0.0,0.0,10,54,1,2
FFroehlich,40.0,0.0,0.0,11,37,1,1
gbelocchi,0.0,0.0,0.0,9,0,1,1
BSM0oo,0.0,2.0,0.0,9,19,1,3
gotlostinparadise,2.0,0.0,0.0,8,6,1,2
Mihonarium,58.0,1.0,0.0,10,48,1,3
bquast,210.0,0.0,0.0,14,0,1,1
Pa3555,0.0,0.0,0.0,6,0,1,1
alexglue,4.0,0.0,0.0,14,0,1,1
learnnshare,1.0,1.0,0.0,8,0,1,1
intragentt,0.0,0.0,0.0,3,6,1,1
joaolcorreia,77.0,0.0,0.0,14,0,1,1
synth-rabbit,2.0,0.0,0.0,12,1,1,1
duvallemusic,0.0,1.0,0.0,1,14,1,2
WOWYLON,0.0,0.0,0.0,1,0,1,1
RAKamel,4.0,0.0,0.0,10,0,1,1
l2ggy,1.0,0.0,0.0,4,1,1,1
ritulsingh,16.0,7.0,1.0,7,0,1,1
msr2903,4.0,8.0,0.0,5,0,1,1
Maxwell1007,0.0,0.0,0.0,5,1,1,1
dominik-najberg,8.0,0.0,0.0,11,1,1,1
SimonMonnier,8.0,0.0,0.0,9,0,1,1
tylerbessire,1.0,0.0,0.0,3,16,1,4
bloody2927,0.0,0.0,0.0,1,0,1,1
voidcenter,21.0,0.0,0.0,9,0,1,1
abou-cell,0.0,0.0,0.0,6,6,1,2
DoggoOP,9.0,0.0,0.0,5,37,1,1
LiquidSquidQuid,0.0,0.0,0.0,3,0,1,1
Fran-chess,2.0,0.0,0.0,4,13,1,1
yousefan,25.0,1.0,0.0,9,0,1,1
GunnarDearringer,0.0,1.0,0.0,1,0,1,1
siva-k85,0.0,0.0,0.0,2,0,1,1
U88478,0.0,1.0,0.0,6,0,1,1
luisecab,1.0,0.0,0.0,9,5,1,2
yasiru56,0.0,1.0,0.0,2,0,1,2
cobusvonwielligh,7.0,0.0,0.0,5,19,1,1
Starnight0402,0.0,0.0,0.0,1,25,1,3
SH3FF,0.0,0.0,0.0,11,0,1,1
cetanu,39.0,20.0,4.0,14,0,1,1
yesilugurr,0.0,0.0,0.0,2,0,1,1
newellz2,3.0,0.0,0.0,7,22,1,2
whreissemicolon,2.0,0.0,0.0,2,1,1,1
LMajnaric,0.0,0.0,0.0,9,0,1,1
FullStackSamk,0.0,0.0,0.0,3,6,1,1
mxschmitt,1858.0,5.0,4.0,10,0,1,2
shthomas1,5.0,0.0,0.0,3,10,1,2
FPOscar,1.0,0.0,0.0,2,0,1,1
aditya-gaharawar,1.0,0.0,0.0,2,0,1,1
PriceMatthewJ,0.0,0.0,0.0,12,0,1,1
nwdhenry,0.0,0.0,0.0,9,1,1,1
SaiSriramKurapati,1.0,0.0,0.0,2,0,1,1
Sycatle,11.0,4.0,1.0,9,24,1,2
zlatkopejic,0.0,2.0,0.0,15,1,1,1
jrea,10.0,0.0,0.0,14,29,1,2
JuanFelipeEstupinan,0.0,0.0,0.0,9,0,1,1
Mrsu9726,1.0,0.0,0.0,11,0,1,1
vlasceanudan,1.0,0.0,1.0,5,5,1,2
amromeo,2.0,0.0,0.0,11,8,1,1
bayramtturgutt,11.0,2.0,3.0,3,0,1,1
Muna-Lombe,5.0,0.0,0.0,6,0,1,1
askmuhsin,26.0,0.0,0.0,12,0,1,1
jasp402,51.0,0.0,0.0,12,2,1,1
AKYXG1991,0.0,0.0,0.0,5,1,1,1
04-impiousrust,0.0,0.0,0.0,1,7,1,2
macrat,44.0,4.0,2.0,11,0,1,1
nicogis,53.0,1.0,0.0,13,10,1,3
kazuki-ghub,0.0,0.0,0.0,1,0,1,1
tduda3,0.0,0.0,0.0,8,2,1,1
domvads,0.0,0.0,0.0,1,15,1,3
nspeer12,19.0,0.0,0.0,8,0,1,2
migueluvieu,6.0,0.0,0.0,10,0,1,1
davewatson91,0.0,0.0,0.0,7,0,1,1
NGGTLightKeeper,1.0,0.0,0.0,2,5,1,3
AmanBothra,3.0,0.0,0.0,5,0,1,1
Samiaum,0.0,0.0,0.0,4,0,1,1
timdierckxsens,31.0,0.0,0.0,10,0,1,1
4ier,45.0,1.0,0.0,13,25,2,2
Alexmiami72,2.0,0.0,0.0,9,0,2,1
maysagoncalves29,37.0,0.0,0.0,5,0,1,1
Nblues,0.0,0.0,0.0,6,0,1,1
pachewise,8.0,0.0,0.0,14,0,1,1
from2001,14.0,0.0,0.0,16,30,2,6
Yoddikko,26.0,0.0,0.0,5,56,1,1
occurrentarts,2.0,0.0,0.0,15,1,1,1
vinioliveirasilva,8.0,0.0,0.0,12,32,1,1
dylan-xogent,0.0,0.0,0.0,2,0,1,1
iotwise-dev,0.0,0.0,0.0,2,0,1,1
CardCounter,0.0,0.0,0.0,8,53,1,1
kickflippingduck,0.0,0.0,0.0,1,0,1,1
newdeveloper2k11,0.0,0.0,0.0,1,1,1,1
kisanshaktiai,0.0,0.0,0.0,1,0,1,1
quothbonney,20.0,1.0,0.0,4,8,1,1
yanchuk,3.0,0.0,0.0,11,2,1,3
tristantheguy,0.0,0.0,0.0,5,28,1,3
jlmcnamara,0.0,0.0,0.0,15,0,1,1
kenta-ja8,1.0,0.0,0.0,7,39,1,1
YashubuStudio,0.0,0.0,1.0,2,72,1,8
ziez,1.0,0.0,0.0,15,0,1,1
ChenxingM,9.0,0.0,0.0,10,0,1,1
hegelmax,0.0,0.0,0.0,11,0,1,1
SirVer,314.0,7632.0,686.0,17,0,1,1
jeff29922,1.0,0.0,0.0,10,1,1,1
SPIRY-RO,50.0,0.0,0.0,13,0,1,1
mrthuan,0.0,0.0,1.0,10,3,1,4
dmussaku,14.0,0.0,0.0,13,0,1,1
nagila-s,0.0,0.0,0.0,2,0,1,1
JacobLinCool,365.0,825.0,115.0,9,4,1,4
juliiancho,0.0,1.0,0.0,3,6,1,1
broadwayinc,5.0,0.0,0.0,5,21,1,3
AiNet5g,0.0,0.0,0.0,1,0,1,1
andrewflowers,334.0,0.0,0.0,14,0,1,1
coqzieiro,1.0,0.0,0.0,3,4,1,1
gindemit,23.0,207.0,30.0,13,12,1,2
LittleDevHo,7.0,0.0,0.0,4,0,1,1
jyup-escape,0.0,2.0,0.0,2,1,1,1
fontolangustavo,3.0,0.0,0.0,14,25,1,2
AHorihuela,1.0,3.0,0.0,14,15,2,2
Glazyman,0.0,0.0,0.0,4,0,1,1
akshatphumbhra,6.0,0.0,0.0,8,2,1,1
synloop,2.0,1.0,0.0,1,0,1,1
DevSoare-S,0.0,0.0,0.0,2,0,1,1
Maks-Jago,12.0,27.0,1.0,14,0,1,1
Baytarovski,0.0,0.0,0.0,1,11,1,1
yuika-kawasaki,23.0,0.0,0.0,15,0,1,1
jaybo1001,0.0,0.0,0.0,3,0,1,1
ronnyboy2020,1.0,0.0,0.0,14,0,1,2
nazhifsetya27,3.0,0.0,0.0,3,0,1,1
San9Korgun,0.0,0.0,0.0,1,0,1,1
andreakorkeamaki,0.0,0.0,0.0,8,0,1,1
humanhealth,0.0,0.0,0.0,13,0,1,1
D8taShark,1.0,0.0,0.0,3,5,1,2
Nurlibaj,0.0,0.0,0.0,7,0,1,1
mathisboche,0.0,0.0,0.0,3,0,1,2
Auxilus,222.0,1.0,0.0,10,2,1,2
diegoalfarod,0.0,0.0,0.0,7,1,1,1
maxsoulfly,0.0,0.0,0.0,10,0,1,1
mertside,12.0,2.0,0.0,10,8,1,1
Thiago-Portella,3.0,0.0,0.0,5,5,1,1
ttarsi,30.0,0.0,0.0,9,9,1,1
fonypage,0.0,0.0,0.0,4,0,1,1
DarrenZhao01,1.0,0.0,0.0,4,3,1,1
i1kom,0.0,0.0,0.0,7,13,1,1
osalabs,29.0,2.0,8.0,15,58,1,2
dragos-vintu,0.0,0.0,0.0,2,6,1,1
julianmoder,0.0,0.0,0.0,10,0,1,1
jdavi977,3.0,0.0,0.0,3,1,1,1
mattjones08,0.0,0.0,0.0,1,0,1,1
marcelMaier,3.0,0.0,0.0,8,0,1,1
Kamhype,0.0,0.0,0.0,1,0,1,1
Maksym-Tkachuk,5.0,0.0,0.0,6,1,1,1
rodrigoyuji22,1.0,0.0,0.0,2,0,1,1
i3oot,0.0,0.0,0.0,13,4,1,3
chiragb3101,2.0,0.0,0.0,4,4,1,1
hjacauna,10.0,1.0,0.0,3,12,1,4
cCDragosh,0.0,0.0,0.0,4,38,1,1
MBillahsust,2.0,0.0,0.0,4,4,1,2
juan-gonzales,0.0,0.0,0.0,7,7,1,3
rismay,61.0,0.0,0.0,15,9,1,4
brycedipalo,0.0,0.0,0.0,4,0,1,1
seamus-linnane,0.0,0.0,0.0,3,1,1,1
carlsendk,9.0,0.0,0.0,8,51,1,1
adrianflores2,0.0,0.0,0.0,1,34,1,1
kevbuh,12.0,4.0,0.0,6,0,1,1
ARSolar,0.0,0.0,0.0,4,0,1,1
yrouille,0.0,0.0,0.0,7,7,1,2
TheOnlyOrigin,1.0,0.0,0.0,3,13,1,2
Raha111,8.0,0.0,0.0,6,0,1,1
rafaelsandroni,28.0,0.0,0.0,12,0,1,1
Denfie,4.0,0.0,0.0,14,0,1,1
jzwolak,5.0,1.0,0.0,16,2,1,1
RafeMcBeth,31.0,0.0,0.0,11,48,1,1
oatakan,108.0,14.0,8.0,11,4,1,2
FilipeMarch,35.0,0.0,0.0,10,0,1,1
yannickwurm,117.0,0.0,0.0,17,0,1,1
andysolomon,45.0,0.0,0.0,16,1,1,1
B0LK13,0.0,0.0,0.0,3,0,1,1
yurigranado,0.0,0.0,0.0,1,0,1,1
waldaldo,3.0,0.0,0.0,12,0,1,1
torberglund,0.0,0.0,0.0,13,19,1,3
fpoujolQNAP,0.0,0.0,0.0,6,3,1,1
nswood,3.0,0.0,0.0,4,0,1,1
adam-lally,0.0,0.0,0.0,5,0,1,1
nusu-github,8.0,0.0,0.0,9,10,1,2
Hevertomfischer,0.0,0.0,0.0,4,15,1,1
v3new,4.0,0.0,1.0,14,14,1,2
narendrans,17.0,30.0,31.0,14,0,1,1
Snoop111,0.0,0.0,0.0,1,0,1,2
pastorelliRobert,0.0,1.0,0.0,7,0,1,1
happypepe9,0.0,0.0,0.0,1,38,1,1
hoag-le,0.0,0.0,0.0,1,9,1,1
filinvadim,24.0,0.0,0.0,10,0,1,1
Lovre-P,1.0,0.0,0.0,2,31,1,1
nzinov,20.0,1.0,1.0,12,34,1,2
evan722,0.0,0.0,0.0,5,3,2,1
JoaoGChv,1.0,0.0,0.0,2,16,1,2
suhendranasution,0.0,0.0,0.0,2,1,1,3
devanshkv,50.0,50.0,36.0,13,17,1,3
mmore500,62.0,0.0,1.0,11,20,1,3
filipegajo89,0.0,0.0,0.0,2,8,1,1
jddelia,6.0,0.0,0.0,10,6,1,1
shuvomahamud,1.0,1.0,0.0,12,0,1,1
logerk46,14.0,0.0,0.0,11,0,1,1
Zavkk,0.0,0.0,0.0,5,0,1,1
kboluk,4.0,0.0,0.0,11,3,1,1
hangilc,4.0,0.0,0.0,18,0,1,1
kkkirin,0.0,0.0,0.0,4,0,1,1
afarah101,0.0,0.0,0.0,4,0,1,1
Minhcardanian,1.0,0.0,0.0,5,2,1,3
gert-janvercauteren,6.0,0.0,0.0,15,0,1,1
JigarKanjani,1.0,0.0,0.0,5,0,1,1
bpopovych,2.0,0.0,0.0,14,1,1,1
itsxallwater,13.0,0.0,0.0,11,20,1,1
bookchi,3.0,0.0,0.0,9,0,1,1
ryankillian,5.0,0.0,0.0,5,1,1,1
EkgariKasawala,2.0,0.0,0.0,6,0,1,1
Thiago-Zn,0.0,0.0,0.0,1,44,1,1
cyshi,45.0,0.0,0.0,12,0,1,1
JazzzFM,27.0,0.0,0.0,7,1,1,1
Perfectz,0.0,0.0,0.0,14,60,2,3
andriydruk,80.0,57.0,18.0,14,7,1,1
Schwarzerhase88,0.0,0.0,0.0,5,0,1,1
votlon,0.0,0.0,0.0,11,0,1,1
takurooo,3.0,3.0,0.0,8,0,1,1
hiroHGxx,0.0,0.0,0.0,1,1,1,2
RTnhN,8.0,0.0,0.0,8,0,1,1
tomwebb644,0.0,0.0,0.0,2,0,1,1
joecmd,0.0,0.0,0.0,4,0,1,1
The2ker,0.0,0.0,0.0,5,0,1,1
jiuyunjun,0.0,0.0,0.0,3,7,1,1
Akhonachosen1,3.0,0.0,0.0,4,12,1,2
mariustoft,10.0,0.0,0.0,8,11,1,1
iChanee,0.0,0.0,0.0,2,11,1,2
bbbvvv2,0.0,0.0,0.0,2,0,1,1
vdumbrav,13.0,0.0,0.0,10,10,1,1
vikrammehta541,0.0,0.0,0.0,6,0,1,1
DominoPrusa,0.0,0.0,0.0,15,0,1,1
vitaliscar,0.0,0.0,0.0,1,0,1,1
Porphyri0n,9.0,2.0,1.0,4,0,1,1
yoelrc88,13.0,1.0,1.0,11,0,1,1
jarcoal,47.0,1.0,0.0,16,0,1,1
Otoru,53.0,34.0,12.0,9,0,1,1
dhwiwwx,6.0,0.0,0.0,5,40,1,1
oussabelbek,0.0,0.0,0.0,3,2,1,2
spn873r9,0.0,0.0,0.0,10,54,1,2
clipo,23.0,0.0,0.0,15,0,1,1
Agusx1211,146.0,7.0,1.0,11,0,1,1
lennartAlvin,0.0,0.0,0.0,2,0,1,1
reyanami99,0.0,0.0,0.0,3,0,1,1
unix14,9.0,3.0,0.0,10,1,1,1
Alfredo-Sandoval,3.0,0.0,0.0,3,0,1,0
mrlewismharris,1.0,0.0,0.0,12,1,1,1
ChristianHintze,0.0,0.0,0.0,1,0,1,1
mamura,5.0,0.0,0.0,16,0,1,1
LearnedVector,544.0,0.0,0.0,12,0,1,1
morgan7street,1.0,0.0,0.0,8,27,1,3
dflucas,1.0,0.0,0.0,13,0,1,1
c0sogi,17.0,0.0,0.0,3,5,1,2
Fahmy-Kadiri-akl,0.0,0.0,0.0,5,0,1,1
sundaycommits,0.0,0.0,0.0,4,0,1,1
MiracAkdag,7.0,1.0,0.0,7,0,1,2
JcruzXr7,0.0,0.0,0.0,5,0,1,1
p1gfly,0.0,0.0,0.0,11,0,1,1
oswaldoelflori,0.0,0.0,0.0,1,0,1,1
Moonwolf711,1.0,0.0,0.0,3,4,1,2
sevazhidkov,176.0,0.0,0.0,12,0,1,1
phibreoptik,0.0,0.0,0.0,9,1,1,2
edwardayoub,2.0,0.0,0.0,4,0,1,1
manthan410,9.0,0.0,0.0,5,0,1,1
kadmielp,2.0,0.0,0.0,6,53,1,1
issamohamad,0.0,0.0,0.0,2,8,1,2
lplewa,5.0,0.0,0.0,10,21,1,1
omererdemis,0.0,0.0,0.0,1,1,1,1
alex-at-cytek,0.0,0.0,0.0,1,0,1,1
TimeDelta,6.0,6.0,2.0,12,53,1,2
hectottang,0.0,0.0,0.0,2,0,1,1
Eito-Kubota,0.0,0.0,0.0,2,0,1,1
pauoliveras,0.0,0.0,0.0,9,0,1,1
GuiBondi,2.0,0.0,0.0,5,0,1,1
swnsma,15.0,0.0,0.0,12,0,1,2
DrSm-bot,0.0,0.0,0.0,2,0,1,1
sequeirab,1.0,0.0,0.0,6,0,1,1
tiranuom,3.0,0.0,0.0,15,7,1,1
max-oliveira-thiago,0.0,0.0,0.0,5,0,1,1
shun-shobon,134.0,0.0,0.0,8,0,1,1
SeanVasey,0.0,1.0,0.0,2,0,1,1
jvmconsultingtec,0.0,0.0,0.0,1,0,1,1
willicab,52.0,0.0,0.0,16,1,1,1
ZanDev32,2.0,2.0,0.0,7,1,1,1
CoffeBank,4.0,1.0,0.0,8,37,1,2
Atrapfare,8.0,0.0,0.0,8,1,1,1
SoftrProAirtable,0.0,0.0,0.0,2,0,1,1
nisbus,23.0,5.0,2.0,16,2,1,2
MRTIBBETS,64.0,1.0,0.0,14,20,1,1
ZDPLI,0.0,0.0,0.0,8,2,1,5
TeeGarden100500,0.0,0.0,0.0,1,33,1,2
zzFernando,13.0,0.0,0.0,7,1,1,1
joshyattridge,106.0,810.0,443.0,9,0,1,1
willynikes2,0.0,0.0,0.0,1,4,1,3
jamesonl,18.0,0.0,0.0,12,0,1,1
VincentSaik,0.0,0.0,0.0,2,0,1,1
4stm4,1.0,0.0,0.0,14,1,1,1
dominik-hvln,0.0,0.0,0.0,5,1,1,1
BinaryFiddler,14.0,0.0,0.0,11,5,1,1
toanpn,6.0,0.0,0.0,9,0,1,1
Fajoo01,0.0,0.0,0.0,2,0,1,1
zu3st,1.0,0.0,0.0,7,0,1,1
Nicokevo,2.0,1.0,0.0,5,0,1,1
jiangege,6.0,0.0,0.0,13,22,1,1
tomtok-ai-agent,0.0,0.0,0.0,1,0,1,1
lion5520,0.0,1.0,0.0,1,4,1,1
alexlazk,11.0,0.0,0.0,8,1,1,3
stuart-hahn,3.0,0.0,0.0,7,0,1,2
Maubic,4.0,0.0,0.0,14,0,1,1
xandemotta,8.0,0.0,0.0,5,0,1,1
soltanihara,0.0,0.0,0.0,1,1,1,2
anupam42,25.0,0.0,0.0,11,0,1,1
SiddhJoshi,0.0,0.0,0.0,6,0,1,1
GRusar,2.0,0.0,0.0,4,0,1,1
robinkarlberg,40.0,1295.0,81.0,11,10,1,1
yzhang98,0.0,0.0,0.0,11,0,1,1
Ronjea,25.0,0.0,0.0,12,0,1,1
rottino15,0.0,0.0,0.0,2,0,1,2
Houssein197,0.0,0.0,0.0,1,0,1,1
MasAim24,0.0,0.0,0.0,3,0,1,1
ShulganRoman,1.0,0.0,0.0,2,0,1,1
bennerrrr,0.0,0.0,0.0,2,9,2,1
stevensoma21,0.0,0.0,0.0,1,0,1,2
chromezeffyr,0.0,0.0,0.0,8,0,1,1
felipeleobraga,0.0,0.0,0.0,12,0,1,1
amitregmi,11.0,0.0,0.0,9,0,1,1
kirollosonsi,1.0,0.0,0.0,9,0,1,1
craigcode,9.0,0.0,0.0,12,0,1,1
Astro-Tushar,0.0,0.0,0.0,5,0,1,1
yraedry,5.0,2.0,0.0,12,0,1,1
40uf411,52.0,1.0,0.0,9,0,1,1
oleksandr-voznyi,1.0,0.0,0.0,4,1,1,1
nirvanatikku,67.0,0.0,0.0,18,1,1,1
sudoesnt,0.0,0.0,0.0,6,14,1,1
pbeens,21.0,0.0,0.0,14,1,1,3
seohoik,0.0,0.0,0.0,2,10,1,1
snajpa,53.0,0.0,0.0,15,0,1,1
magu1436,0.0,0.0,0.0,4,26,1,4
gonncho,0.0,0.0,0.0,2,0,1,1
mixxen,38.0,0.0,0.0,14,0,1,1
jamesburchill,4.0,0.0,0.0,6,0,1,1
voxmenthe,58.0,80.0,17.0,13,1,1,2
regisandre,3.0,0.0,0.0,10,0,1,1
nakrule,3.0,0.0,0.0,10,0,1,1
TimurKady,2.0,31.0,4.0,10,31,1,2
AlirezaMorsali,19.0,0.0,0.0,9,1,1,1
guilhermepetrus,2.0,0.0,0.0,5,0,1,1
HarringtonM11663,0.0,0.0,0.0,7,0,1,1
MMAT15,0.0,0.0,0.0,3,0,1,1
CJuwaneme1704,0.0,0.0,0.0,4,0,1,1
ChiefSentinel,0.0,0.0,0.0,8,2,1,1
krshrimali,364.0,3.0,0.0,10,29,2,4
BoDu4ka,0.0,0.0,0.0,13,0,1,1
vgmello,1.0,0.0,2.0,13,4,1,1
ddec3,0.0,0.0,0.0,2,0,1,1
jhonsoc,0.0,0.0,0.0,5,1,1,2
erikotoz,0.0,0.0,0.0,2,0,1,1
joshuaadamswaite,0.0,0.0,0.0,5,1,1,2
dlxiii,6.0,0.0,0.0,9,4,1,1
Li-the-one,0.0,0.0,0.0,6,0,1,1
kawau1,4.0,0.0,0.0,4,0,1,2
Abdalla-Eldoumani,7.0,0.0,0.0,4,0,1,1
mustafa-m,1.0,0.0,0.0,9,0,1,1
arnaudgrunwald0404,0.0,0.0,0.0,2,0,1,1
Leehyunbin0131,0.0,0.0,0.0,4,0,1,1
demorojao,0.0,0.0,0.0,5,0,1,1
yutanpo1227,0.0,0.0,0.0,6,11,1,1
MaximIgenbergs,5.0,1.0,0.0,5,0,1,1
starceees,18.0,0.0,0.0,7,3,1,2
richarms,2.0,0.0,0.0,14,26,1,5
JavierQuerol,18.0,0.0,0.0,13,3,1,1
Hyperhelium,0.0,0.0,0.0,5,0,1,1
shonteag,9.0,0.0,0.0,13,1,1,1
shriyamalik-mb,0.0,0.0,0.0,1,0,1,1
DecoreyA,6.0,0.0,0.0,2,0,1,1
SBlake011,0.0,0.0,0.0,2,0,1,1
mraju2,1.0,0.0,0.0,12,0,1,1
reza2450,0.0,0.0,0.0,9,0,1,1
