real_human_author,pull_request_id,comments_by_human_maintainers
MH4GF,3222101465,9
lenaschoenburg,3243112963,9
joshfree,3144119383,9
jongio,3232539895,9
eagerterrier,3222212117,9
sanity,3271748860,9
ArneDeutsch,3152957569,9
codesorcery,3261572196,9
squirrelsc,3081369417,9
JoshLove-msft,3081171929,9
mvdicarlo,3133214926,9
marcpopMSFT,3134390007,9
shige,3138540332,8
lastmjs,3077095878,8
jonathanpeppers,3150761777,8
qdequele,3260577723,8
mattleibow,3218001320,8
maskaevaflk,3259798274,8
Starchm,3185723605,8
zonzamas,3169212086,8
the-hotmann,3231589632,8
AmethS,3209929940,8
jBijsterboschNL,3200393827,8
BernieWhite,3214577978,8
lethalgem,3160397616,8
andrewleech,3201567268,8
will-holley,3189719663,8
ronensc,2978840535,8
Manav-Aggarwal,3210294287,8
gtong-nv,3221072168,8
rmarinho,3253538190,8
marrobi,3079886079,8
ottenhoff,3072128473,8
pierrevalade,3119003442,8
NewFuture,3241734959,8
Cvikli,3191307637,8
danhellem,3221925890,8
bhollis,3197279228,8
marius-baseten,3098163794,8
tbennun,3214122373,8
rolfbjarne,3074815696,8
cbleroibeukes,3141285079,8
baronfel,3095166726,8
shige,3155219814,8
lsorber,3071083616,8
Youssef1313,3272555104,8
JordanSh,3266900511,8
picatz,3209991607,8
JMBeresford,3081978815,8
NewFuture,3244901827,8
gaby,3078707207,8
richardpark-msft,3115438957,8
akamienski,3196812180,8
KrzysztofCwalina,3161596711,8
pierrevalade,3127479651,8
jgur-psyops,3190227280,8
coyotte508,3087114684,8
afharo,3273562641,8
vcolin7,3232670129,8
j4k4,3223063338,8
iamchandanys,3232670129,8
andrewbranch,3131807383,8
timotheeguerin,3074557301,8
trask,3194236413,8
rgerhards,3207874593,8
geclos,3143424792,8
LB--,3081566388,8
vsfeedback,3143462161,8
jakebailey,3196277860,8
0pdd,3143294783,8
DamianEdwards,3075036713,8
anthonyshew,3245632375,8
ndraiman,3173233374,8
JLHwung,3172635187,8
Franz-Fischbach,3228831633,8
ericmeans3cloud,3175188468,8
ScarletFlash,3030073254,8
entangled90,3187968450,8
Evangelink,3272830283,8
LiliDeng,3181433167,8
johnrachwan123,3080668353,8
live1206,3218061623,8
lupino3,3108675807,8
LiliDeng,3139359977,8
pierceboggan,3076882541,8
wparr-circle,3023193903,8
AndreBarr,3137658330,8
satococoa,3139315341,8
heaths,3141161571,8
evan-forbes,3133474971,8
flanakin,3122947325,8
tomhrr,3156418108,8
markat1,3212880394,8
Yury-Fridlyand,3196952174,8
JacobKnightley,3084261971,8
baronfel,3153610172,8
radical,3087535228,8
matthew-a-dunlap,3182767311,8
pierrevalade,3158805389,8
BenB196,3241590398,8
saracarl,3264893018,8
abonie,3132713357,8
rolfbjarne,3163837639,8
baywet,3118774482,8
nazreen,3103367606,8
jcsp,3016881237,8
jfversluis,3182255512,8
benfdking,3121742299,8
iamrajjoshi,3138534395,8
rajeshkamal5050,3163705700,8
ulixius9,3223618559,8
TonyValenti,3103303265,8
avifenesh,3231933790,8
jaffrepaul,3193425873,7
Falco20019,3169431198,7
jmuziki,3143689167,7
gjoaquim,3180363547,7
yegor256,3168646471,7
jonathanpeppers,3154845631,7
BillWagner,3160848695,7
evan-forbes,3113120635,7
scottaddie,3169429627,7
jgbradley1,3252187698,7
HazAT,3195558400,7
MarcoRossignoli,3232438793,7
Barre,3184302368,7
justinchuby,3146305288,7
harupy,3197755568,7
tommy-ca,3225792685,7
chargome,3171819372,7
harupy,3197983907,7
squirrelsc,3084794817,7
josix,3225271859,7
anitakumari28,3125104127,7
