real_human_author,pull_request_id,comments_by_human_maintainers
Karlie-777,3210239309,18
applike-ss,3276368773,18
nsano-rururu,3183315539,18
evan-forbes,3183651013,18
christothes,3133959095,18
MH4GF,3222101465,18
MH4GF,3047699666,18
tynes,3141925686,18
WorldTeacher,3224085262,18
murphyatwork,3272945997,18
diqye,3128413591,18
guillaq,3163701771,18
romtsn,3169456811,18
acco,3101434004,17
greinacker,3081466449,17
greinacker,3078528718,17
KyleK1782,3074693911,17
PureWeen,3184470273,17
RexJaeschke,3111637041,17
simongdavies,3079366285,17
Kumima,3152775367,17
javiercn,3152880462,17
rainersigwald,3086540771,17
mthalman,3115409265,17
MSBrett,3087094895,17
JoshLove-msft,3172846336,17
ilonatommy,3214811092,17
andyzhangx,3217654347,17
benbp,3084855641,17
saima-s,3115119469,17
T-Gro,3076064186,17
AArnott,3135316626,17
mjbvz,3125459043,17
jonrohan,3137892942,17
tobiasb-ms,3113782046,17
binki,3189651457,17
JoshLove-msft,3271620469,17
eallion,3226175596,17
jonthysell,3136052318,17
chiaramooney,3136055973,17
rvagg,3210824774,17
squirrelsc,3081369417,17
javiercn,3156952451,17
YZahringer,3075176665,17
vienthuong,3251615613,17
codesorcery,3261572196,17
jonathanpeppers,3138221452,17
jongio,3223618488,17
AkihiroSuda,3194803721,17
nirs,3194805300,17
captainsafia,3189091502,17
harupy,3214555104,17
sreya,2936982220,17
codyde,3135169379,17
mgoin,3241057566,17
benfdking,3121742299,16
Franz-Fischbach,3228831633,16
maskaevaflk,3259798274,16
timotheeguerin,3074557301,16
jsavage,3074699489,16
szhorvat,3206834000,16
sinedied,3137146172,16
josephaw1022,3157537779,16
marrobi,3079684446,16
evan-forbes,3194387938,16
Youssef1313,3272555104,16
richardpark-msft,3115438957,16
minestarks,3141889094,16
rolfbjarne,3074815696,16
AlCalzone,3248888118,16
rmarinho,3143372325,16
lukhipolito,3143508366,16
Devon7925,3214127213,16
scottaddie,3173180612,16
JoshLove-msft,3196547980,16
AArnott,3135303315,16
six7,3096200855,16
BernieWhite,3214577978,16
joshfree,3209569709,16
JonathanCrd,3154760858,16
grendello,3187808523,16
Vegoo89,3215761683,16
weinong,3234259884,16
rolfbjarne,3163837639,16
JoshLove-msft,3140613045,16
PureWeen,3176732963,16
ras0219-msft,3138073133,16
spbolton,3216706697,16
geclos,3143424792,16
iamrajjoshi,3138534395,16
kolaente,3171094112,16
Jarred-Sumner,3078237999,16
kolaente,3119154707,16
Cvikli,3191307637,16
achantavy,3241853233,16
achantavy,3131654790,16
Kvadratni,3094579094,16
ottenhoff,3072128473,15
gaby,3078707207,15
U8F69,3206264749,15
nohwnd,3151219647,15
maddieford,3078356584,15
rach-id,3209660072,15
snufffgit,3184463362,15
kehanxuuu,3194130560,15
lschneiderbauer,3105161001,15
jmielbrecht-symetrix,3168922203,15
KrzysztofCwalina,3161596711,15
javiercn,3086437300,15
harupy,3086457034,15
lupino3,3108675807,15
joshfree,3144119383,15
captainsafia,3184269634,15
mxschmitt,3075994560,15
matthewige,3168626948,15
aishwaryabh,3095403215,15
noahfalk,3205771814,15
radical,3087535228,15
NewFuture,3250824111,15
flanakin,3122947325,15
nuke-web3,3113175166,15
marrobi,3079886079,15
marcpopMSFT,3134390007,15
yuslepukhin,3160615563,15
drewrelmas,3154729147,15
live1206,3218061623,15
jonthysell,3155034288,15
rajeshkamal5050,3163705700,15
trevorwangigs,3140527739,15
vhvb1989,3261577574,15
rolfbjarne,3223056401,15
jgbradley1,3103634798,15
Saadnajmi,3189347022,15
jongio,3232539895,15
ScarletFlash,3030073254,15
tannerlinsley,3244460749,15
Jarred-Sumner,3197795537,15
takenagain,3191839195,15
qdequele,3260577723,14
marius-baseten,3098163794,14
shige,3155219814,14
JoshLove-msft,3234065894,14
jonthysell,3190612959,14
lastmjs,3078352984,14
eallion,3226556821,14
T-Gro,3139980757,14
messense,3224825503,14
TomeHirata,3123684653,14
trask,3194217765,14
ppekrol,3102011997,14
mrsharm,3102019273,14
gewarren,3162263131,14
laurentiusoica,3159591262,14
coyotte508,3087114684,14
felfa01,3271677684,14
Yury-Fridlyand,3196952174,14
Karlie-777,3214086292,14
javiercn,3197180934,14
ViktorHofer,3076300908,14
arnaudlh,3171113463,14
ViktorHofer,3076300908,14
jonathanpeppers,3150761777,14
yurkinh,3124143626,14
danhellem,3221925890,14
andrewbranch,3131807383,14
tomhrr,3158727370,14
JanProvaznik,3198922993,14
karpikpl,3209445091,14
rvagg,3210755490,14
captainsafia,3180198385,14
flanakin,3084581434,14
otoolep,3090993724,14
jakebailey,3196277860,14
IshanCSE,3119354820,14
BenB196,3241590398,14
anthony-c-martin,3217515128,14
alexr00,3199050485,14
matiasgarciaisaia,3259279446,14
andrewleech,3201567268,14
patmmccann,3114771710,14
ari-becker,3030166725,14
bruno-garcia,3154921524,14
jaffrepaul,3193425873,14
chargome,3171819372,14
buddhika75,3265336481,14
lsorber,3071083616,14
aibrahim-oai,3224283647,14
nazreen,3103367606,14
gcarleo,3162416395,14
Akasxh,3153767204,14
Keno,3085487490,14
hansonw,3088109664,13
alexthuth,3075616006,13
JMBeresford,3081978815,13
jtramm,3179766264,13
marmor7,3078440447,13
NewFuture,3195573803,13
kgouraw,3209849522,13
Evangelink,3235010382,13
xionglingfeng,3074688614,13
trask,3194269192,13
davidfowl,3094488685,13
NewFuture,3244901827,13
xerial,3104922484,13
ManickaP,3075843226,13
Karlie-777,3214078227,13
jonpryor,3119083821,13
LiliDeng,3181433167,13
ericnev,3109908968,13
evan-forbes,3113120635,13
LiliDeng,3139359977,13
MrAdelhorst,3080058343,13
six7,3096193455,13
robertsLando,3198773156,13
KHeresy,3134692524,13
baronfel,3154652967,13
EvilBeaver,3238158813,13
jonathanpeppers,3161387601,13
chiaramooney,3136072957,13
DavidVilleneuveAnsys,3140333312,13
pjohnst5,3074893038,13
Tyriar,3119335069,13
ArcturusZhang,3080743634,13
pelikhan,3259892866,13
heaths,3141161571,13
KrzysztofCwalina,3138414058,13
saracarl,3264892289,13
harupy,3194998721,13
davidfowl,3246121444,13
Starchm,3185723605,13
avifenesh,3231933790,13
sanity,3271748860,13
shige,3138540332,13
Evangelink,3142914272,13
jcsp,3016881237,13
wparr-circle,3023193903,13
simon-mo,3240797601,13
obi1kenobi,3148086960,12
transphorm,3270625231,12
harupy,3108908027,12
sybrew,3190548666,12
dylan-smith,3210898758,12
haolingdong-msft,3151882306,12
radical,3151946493,12
JacobKnightley,3084261971,12
RufusJWB,3074781486,12
Ahmed-Aghadi,3118735492,12
scottaddie,3169429627,12
tyb-dev,3159153388,12
ci010,3238950653,12
alii,3172933734,12
matmerr,3131512627,12
jonthysell,3198244189,12
TamilarasanSF4853,3168521538,12
vsfeedback,3143462161,12
rach-id,3202730929,12
daiplusplus,3076267770,12
harupy,3197983907,12
jmeridth,3150091151,12
0xkarmacoma,3150510293,12
AndreBarr,3137658330,12
captainsafia,3139241740,12
magnusottosson,3111006731,12
BernieWhite,3212617082,12
ickc,3213048977,12
vrdevendra,3193369023,12
evan-forbes,3182915267,12
BillWagner,3160848695,12
lastmjs,3077095878,12
kemingy,3221328642,12
josix,3225271859,12
raineorshine,3156499919,12
saracarl,3270038594,12
CppCXY,3191233085,12
evan-forbes,3138045580,12
PranavSenthilnathan,3186564845,12
PureWeen,3193162981,12
otoolep,3134092582,12
harupy,3235103212,12
mshinwell,3257102140,12
Shpigford,3154662508,12
rahul-tuli,3132093324,12
jcsp,3017016012,12
madiator,2771538261,12
hetunandu,2791971139,12
ottenhoff,3177212628,12
bruno-garcia,3197760755,12
calbera,3209950297,12
Murderlon,3195544033,12
paulpv,3205442114,12
conico974,3175455636,12
strickvl,3070601228,12
jgur-psyops,3190227280,12
stephanos,3114736501,12
greinacker,3084106426,12
obi1kenobi,3148027458,12
forntoh,3137753437,12
obi1kenobi,3148487759,12
Rello,3199191078,11
gtong-nv,3221072168,11
jkotas,3081999258,11
brianrob,3125790678,11
samsaha-ms,3122494142,11
gkulin,3256596335,11
jviau,3084490358,11
szhorvat,3206831441,11
baywet,3118774482,11
bradygaster,3157539004,11
NewFuture,3224735740,11
epsi1on,3079241115,11
radical,3102049332,11
justinchuby,3146305288,11
lethalgem,3160397616,11
kevinclev,3077311015,11
brianrob,3134892391,11
akamienski,3196812180,11
JLHwung,3172635187,11
matthew-a-dunlap,3182767311,11
mitchdenny,3087761233,11
baronfel,3153610172,11
jmuziki,3143689167,11
baronfel,3095166726,11
entangled90,3188978416,11
Kathedra,3227962360,11
damiansikora85,3170544938,11
JeppeKlitgaard,3227004326,11
captainsafia,3195365909,11
KuechA,3209861533,11
michaeldera,3256255880,11
novinfard,3262429170,11
acampove,3192728541,11
IS4Code,3276556654,11
evan-forbes,3111033132,11
YusukeHirao,3165558236,11
maddymontaquila,3131854557,11
MarcoRossignoli,3232438793,11
justinchuby,3161317787,11
squirrelsc,3084794817,11
DoubleNom,3242236662,11
DanielRosenwasser,3078539142,11
radical,3078737490,11
MSNev,3080969048,11
heaths,3081019130,11
madskristensen,3141023608,11
ai-apps-bot,3220067260,11
j4k4,3223063338,11
JustinGrote,3138552824,11
JoshLove-msft,3210323907,11
saracarl,3264878708,11
corco,3117274843,11
JamesNK,3244771668,11
auderson,3199299700,11
joshlang,3227205708,11
harupy,3197755568,11
mark14wu,3220223180,11
yonghao2011,3165662397,11
ChrisRackauckas,3275455685,11
nilo19,3212218608,11
sjm41,2914277614,11
simmotech,3232669455,11
mingxin-zheng,3178158316,11
king960,2900058289,11
ronensc,2978840535,11
jordanschalm,3270570821,11
PureWhiteWu,3194774181,11
Jarred-Sumner,3170718881,11
saminacodes,3197313762,11
Jarred-Sumner,3074482141,11
toyamarinyon,3108467281,11
pierrevalade,3119003442,11
ArneDeutsch,3152957569,11
gmercey,3147960973,11
rickwierenga,3119627507,10
Rello,3173074819,10
prathyushpv,3197272083,10
obi1kenobi,3148499978,10
esauvisky,3206231176,10
rach-id,3124811802,10
pepone,3124835441,10
gbtec-georgs,3151237217,10
DMarshall-1,3081715193,10
zhenlan,3081719238,10
the-hotmann,3231589632,10
Youssef1313,3152602811,10
afharo,3273562641,10
xionglingfeng,3084258051,10
Patch4747,3074609325,10
christianhelle,3074785958,10
rbtr,3119010150,10
oipacan,3276951581,10
mattkur,3241819936,10
jkodroff,3156991280,10
incowia-dke,3079799506,10
lalitb,3194212498,10
avifenesh,3239748118,10
zonzamas,3169212086,10
lenaschoenburg,3243112963,10
DonnieBLT,3217974398,10
flanakin,3132727237,10
na1307,3146900482,10
plaplainabf,3089454288,10
rach-id,3172409641,10
jeremycartergf,3198393576,10
DonaldDuck313,3148288584,10
charlesroddie,3248956761,10
baronfel,3153767187,10
flanakin,3132779656,10
flanakin,3084897200,10
EraYaN,3183932739,10
joshblack,3077679669,10
ronniegeraghty,3078076894,10
cremor,3208736303,10
pierceboggan,3076882541,10
mjbvz,3198063528,10
OskarStark,3179460425,10
devang-ml,3125458401,10
MarcoRossignoli,3231648781,10
Timothy-Liuxf,3209954297,10
MedAnd,3122559134,10
azizabah,3083313712,10
jcstein,3113159534,10
evan-forbes,3113268020,10
TonyValenti,3103303265,10
v-jiaodi,3272323130,10
sinedied,3226519927,10
KHeresy,3134692878,10
justinchuby,3160616420,10
ericstj,3209619194,10
lgarron,3120704042,10
jfversluis,3187477285,10
christothes,3161102496,10
chiaramooney,3136053629,10
chiaramooney,3136072840,10
gavinclarkeuk,3234328843,10
mikekistler,3081464962,10
LB--,3081566388,10
gjoaquim,3180363547,10
Tyriar,3163863050,10
avifenesh,3225168727,10
lucasnasc2,3191875426,10
mntlty,3211948604,10
StephenWeatherford,3200398251,10
ArcturusZhang,3242497585,10
Manav-Aggarwal,3210294287,10
eerhardt,3179388883,10
markat1,3212880394,10
kirankumarkolli,3237703446,10
mo-amzn,3231948361,10
gabek,3197541653,10
majdyz,3219880512,10
tphakala,3189507528,10
cmungall,3094661465,10
wtfsayo,3247725112,10
MH4GF,3194483657,10
gregorywaynepower,3165176791,10
ghost,3232675471,10
szokeasaurusrex,3136628527,10
nishio,3076685839,10
sam-goodwin,3105400138,10
dperssongrt,2990115371,10
binary-koan,2914383409,10
MH4GF,3171314067,10
pierrevalade,3158805389,10
anthonyshew,3245632375,10
armenzg,3222921590,10
HazAT,3195558400,10
cleptric,3153069820,10
obi1kenobi,3164568319,10
grothkopp,3192862599,10
obi1kenobi,3165162777,10
rgerhards,3207874593,10
robbie-c,3139731537,10
dungbanguyen,3221449825,10
ReneWerner87,3192321146,10
gaby,3151772816,10
will-holley,3193560962,10
nazreen,3095850088,10
johnrachwan123,3080668353,10
mikekistler,3082019461,9
rach-id,3125744468,9
paulobmarcos,3125850603,9
matheper,3091765131,9
eagerterrier,3222212117,9
oxisto,3212298491,9
trask,3194236413,9
JoshLove-msft,3095413885,9
amarun22,3126429251,9
francinelucca,3100859823,9
KrzysztofCwalina,3144121380,9
glemco,3226277258,9
tamirkamara,3238991224,9
ai-apps-bot,3196863235,9
justinchuby,3145372553,9
evan-forbes,3182406028,9
chr-hertel,3182625993,9
juliusikkala,3253454706,9
pshao25,3085653329,9
luithefirst,3249032709,9
softchris,3077823693,9
SvenAelterman,3227866239,9
YusukeHirao,3147266863,9
mvdicarlo,3075291570,9
matouskozak,3261852303,9
anitakumari28,3125104127,9
dylan-smith,3141472779,9
picatz,3209991607,9
jesserockz,3267543045,9
ManickaP,3113703056,9
afscrome,3103364279,9
foxminchan,3099796157,9
six7,3096473993,9
JamesNK,3238146970,9
LiliDeng,3187683940,9
ArcturusZhang,3148402460,9
aarondandy,3161114956,9
ilonatommy,3195953065,9
mvysny,3192173517,9
MSBrett,3075019704,9
DamianEdwards,3075036713,9
AtishayMsft,3178472003,9
dscho,3082541069,9
Erygh94,3196295632,9
jBijsterboschNL,3200393827,9
PureWeen,3176406990,9
ishaanshah,3223643354,9
meganrogge,3158182026,9
parker-research,3117273620,9
bernardnormier,3103968651,9
natevm,3218245359,9
nohwnd,3232119740,9
krystophny,3232844270,9
daryllimyt,3260236912,9
jons-pf,3132739442,9
satococoa,3139315341,9
iamchandanys,3232670129,9
Evangelink,3142876413,9
vcolin7,3232670129,9
jcsp,2984932879,9
mvenkatsriram,2894930869,9
samwillis,3175041273,9
billyvg,3184110162,9
Overtorment,3202575014,9
pierrevalade,3150896736,9
KyleTryon,3140368155,9
RTLS,3194276718,9
vrushankportkey,3155893392,9
louwers,3203835478,9
AgentEnder,3153811253,9
avezey-ci,3081523540,9
sklein12,3071076936,9
corneliusroemer,3160775696,8
natolambert,3072138891,8
toyamarinyon,3078642261,8
forntoh,3134796755,8
aibrahim-oai,3223921326,8
csyonghe,3268164028,8
vibhansa-msft,3109359968,8
jongio,3234115546,8
ericmeans3cloud,3175188468,8
houssain-barouni,3167462922,8
jpayne3506,3126001730,8
DarkiT,3195788503,8
sebastienros,3235209505,8
jorgerangel-msft,3189966102,8
AErmie,3074667128,8
rachelkang,3074788987,8
isidorn,3118533289,8
zhiying-lin,3079170931,8
haydenbleasel,3177549523,8
Falco20019,3169431198,8
ckauf,3242974861,8
QuadnucYard,3254588245,8
mattleibow,3218001320,8
abonie,3132713357,8
codewithdhruba01,3101243147,8
ilonatommy,3159745301,8
evan-forbes,3160353937,8
rainersigwald,3143925201,8
GrapeBaBa,3202996466,8
azure-sdk,3159178442,8
davidwengier,3188046855,8
RunnerZhong,3236306681,8
gugu,3275838023,8
brianrob,3135078870,8
wdcocq,3238929100,8
jonathanpeppers,3172070799,8
davidfowl,3104789631,8
PranavSenthilnathan,3075789042,8
jfversluis,3182255512,8
rmarinho,3253538190,8
radical,3112029851,8
Evangelink,3272830283,8
evan-forbes,3133474971,8
JiaqiZhang-Dev,3085010036,8
0pdd,3143294783,8
tomlm,3077729458,8
lastmjs,3078060956,8
tbennun,3214122373,8
bhollis,3197279228,8
JoshLove-msft,3119252975,8
captainsafia,3173531582,8
jonnyry,3076670977,8
flanakin,3181655167,8
isaaccorley,3185225851,8
TomeHirata,3128687723,8
jonathanpeppers,3150623138,8
shpalani,3216407461,8
raineorshine,3141571114,8
AmethS,3209929940,8
ivberg,3122564816,8
NewFuture,3225486077,8
captainsafia,3190119327,8
AErmie,3083971614,8
mrm9084,3084021151,8
NewFuture,3241734959,8
chuckries,3080134448,8
eerhardt,3236393939,8
JordanSh,3266900511,8
lbussell,3193344742,8
OldSchoolNewWorld,3160865707,8
elachlan,3120599542,8
AtishayMsft,3187866797,8
entangled90,3187968450,8
leighmcculloch,3088331987,8
Tyriar,3215898746,8
justinchuby,3161407157,8
srinathsetty,3190223487,8
FokkeZB,3230926443,8
squirrelsc,3081361910,8
tomhrr,3156418108,8
vapourismo,3084561388,8
obiwanjacobi,3084681490,8
timotheeguerin,3074847883,8
six7,3075074837,8
Youssef1313,3251731325,8
melutovich,3224656137,8
cwfitzgerald,3224697505,8
czd890,3194656871,8
OEvgeny,3079015881,8
mvdicarlo,3083216022,8
fuzzah,3265364263,8
kkazala,3155665858,8
Alan-Jowett,3164130684,8
cbleroibeukes,3141285079,8
ulixius9,3223618559,8
swathipil,3158220791,8
saracarl,3264893018,8
FragmentedPacket,3195187523,8
t-minzheng,3193068019,8
harupy,3197765608,8
KristofferC,3263199127,8
ChrisRackauckas,3276605733,8
satococoa,3079303421,8
ndraiman,3173233374,8
pierrevalade,3127479651,8
tssweeney,3102336394,8
buenaflor,3232435672,8
btsgh,2792145491,8
leoschwarz,3172939109,8
transphorm,3203959889,8
pierrevalade,3154906347,8
pierrevalade,3158240827,8
finbarrtimbers,3226831249,8
anthonyshew,3244776763,8
jltrfl,3213347355,8
mrubens,3203043702,8
idoshamun,3238286660,8
jgur-psyops,3134730861,8
TBAMax,3143923654,8
achantavy,3131656383,8
gaby,3092319732,8
karakanb,3120398551,8
obi1kenobi,3148073995,8
vilkinsons,3165778418,8
pierrevalade,3135509457,8
will-holley,3189719663,8
shige,3141830770,8
sfmskywalker,3074885425,8
toyamarinyon,3082311072,8
johnpaulett,3125639059,8
moose-code,3110098571,7
RobHofmann,3119079217,7
MrFlounder,3151623064,7
aibrahim-oai,3224129212,7
obie,3158802702,7
jonthysell,3190612638,7
mitchdenny,3081726196,7
haydenbleasel,3174466173,7
LaurentLesle,3175054599,7
aaronpowell,3151984235,7
brianrob,3189765757,7
Manav-Aggarwal,3273496214,7
dazhao-msft,3136803201,7
nvborisenko,3140273018,7
sordonia,3123194825,7
jsquire,3194127862,7
bpasero,3169097473,7
mazhelez,3243134540,7
theztefan,3126427425,7
harupy,3094144121,7
vhvb1989,3094607813,7
KrzysztofCwalina,3143986029,7
alextatarinov,3159464933,7
martins0n,3236325867,7
marrobi,3163243779,7
anupriya13,3258717917,7
m-redding,3172482561,7
KrzysztofCwalina,3172752603,7
lukekarrys,3131521120,7
huyenltnguyen,3198441645,7
MaryGao,3141942329,7
ArthurMa1978,3116201888,7
